SMILES	Substrate	Mol_ID
CC(C)CC(C(=O)NC(C(C)C)C(=O)NC(C(C)O)C(=O)O)NC(=O)C1CCCN1C(=O)C(C(C)O)NC(=O)C(CCC(=O)N)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CCSC)NC(=O)C(CC2=CC=CC=C2)NC(=O)CNC(=O)CNC(=O)C(CC3=CC=C(C=C3)O)N	alpha-endorphin	mol_4422.sdf
CCC(C)C(C(=O)NC(CC(C)C)C(=O)O)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C2CCCN2C(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)C3CCCN3C(=O)C(CCCCN)NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)O)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CC(C)C)NC(=O)C5CCC(=O)N5	neurotensin	mol_4425.sdf
CC(C)CC(C(=O)NC(CCSC)C(=O)NC(CC(=O)N)C(=O)NC(C(C)O)C(=O)O)NC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C(CCC(=O)N)NC(=O)C(C(C)C)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)N)NC(=O)C(C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CCCCN)NC(=O)C(CO)NC(=O)C(CC5=CC=C(C=C5)O)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC6=CC=CC=C6)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)N)NC(=O)C(CO)NC(=O)C(CC7=CN=CN7)N	glucagon	mol_4418.sdf
CCC(C)C(C(=O)NC(C(C)CC)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC3=CN=CN3)NC(=O)C4CSSCC(C(=O)NC(C(=O)NC5CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N4)CC6=CC=CC=C6)CC7=CC=C(C=C7)O)C(C)C)NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC5=O)CO)CO)CC(C)C)CCSC)CC(=O)O)CCCCN)CCC(=O)O)CO)N	endothelin-1	mol_4426.sdf
CC(C)CC(C(=O)NC(C)C(=O)NC(CC(=O)N)C(=O)NC(CCC(=O)N)C(=O)O)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(C)NC(=O)CNC(=O)C(C(C)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)CNC(=O)CNC(=O)C(CC2=CC=CC=C2)N	nociceptin	mol_4416.sdf
CC(C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)CC5=CC=CC=C5)CC(=O)N)CCCCN)NC(=O)CNC(=O)C(C)N)C(=O)O)CO)C(C)O)CC6=CC=CC=C6)O	somatostatin 14	mol_4429.sdf
CC(C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)CC5=CC=CC=C5)CC(=O)N)CCCCN)NC(=O)CNC(=O)C(C)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCC(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C6CCCN6C(=O)C(C)NC(=O)C(CCSC)NC(=O)C(C)NC(=O)C7CCCN7C(=O)C(CC(=O)N)NC(=O)C(CO)NC(=O)C(CC(=O)N)NC(=O)C(C)NC(=O)C(CO)N)C(=O)O)CO)C(C)O)CC8=CC=CC=C8)O	somatostatin 28	mol_4424.sdf
CC(C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)O)N	tetraalanine	mol_4459.sdf
N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](C)C(=O)N.N[C@@H](C)C(=O)O.N[C@@H](C)C(=O)O	dialanine-phenylalanylalaninamide	mol_4461.sdf
O1C(=CC=C1)C=CC(=O)NCC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O	3-(2-furyl)acryloyl-glycyl-L-phenylalanyl-L-phenylalanine	mol_4456.sdf
N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](C)C(=O)O.N[C@@H](C)C(=O)O.N[C@@H](C)C(=O)O.N[C@@H](C)C(=O)O	trialanine-phenylalanylalanine	mol_4455.sdf
COC([C@@H](NC([C@@H](NC(=O)OCC1=CC=CC=C1)CC(=O)O)=O)CC1=CC=CC=C1)=O	N-carbobenzoxy-L-aspartyl-L-phenylalanine methyl ester	mol_4462.sdf
CCC(C)C1C(=O)NC2CSSCC(C(=O)NC(CSSCC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CO)CC(C)C)CC3=CC=C(C=C3)O)CCC(=O)N)CC(C)C)CCC(=O)O)CC(=O)N)CC4=CC=C(C=C4)O)C(=O)NC(CC(=O)N)C(=O)O)C(=O)NCC(=O)NC(CCC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CC5=CC=CC=C5)C(=O)NC(CC6=CC=CC=C6)C(=O)NC(CC7=CC=C(C=C7)O)C(=O)NC(C(C)O)C(=O)N8CCCC8C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)O)C(C)C)CC(C)C)CC9=CC=C(C=C9)O)CC(C)C)C)CCC(=O)O)C(C)C)CC(C)C)CC2=CNC=N2)CO)NC(=O)C(CC(C)C)NC(=O)C(CC2=CNC=N2)NC(=O)C(CCC(=O)N)NC(=O)C(C(=O)N)NC(=O)C(C(C)C)NC(=O)C(CC2=CC=CC=C2)N)C(=O)NC(C(=O)NC(C(=O)N1)CO)C(C)O)NC(=O)C(CCC(=O)N)NC(=O)C(CCC(=O)O)NC(=O)C(C(C)C)NC(=O)C(C(C)CC)NC(=O)CN	Insulin	mol_4465.sdf
CC(=O)NC1C(C(C(OC1OC2C(C(C(C(C2O)O)O)O)O)CO)O)O	1-(2-acetamido-2-deoxy-alpha-D-glucopyranosyl)-1D-myo-inositol	mol_4517.sdf
CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C	Penicillin V	mol_4529.sdf
C(C)(=O)N[C@@H](CSC(=CCl)Cl)C(=O)O	N-acetyl-S-(1,2-dichlorovinyl)-L-cysteine	mol_4534.sdf
C(C)(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)O	N-acetyl-L-tyrosine	mol_4530.sdf
OC(C(C)=O)NCCCC[C@H](NC(C)=O)C(=O)O	N6-(1-hydroxy-2-oxopropyl)-N2-acetyl-L-lysine	mol_4539.sdf
OC(C(C)=O)SC[C@H](NC(C)=O)C(=O)O	S-(1-hydroxy-2-oxopropyl)-N-acetyl-L-cysteine	mol_4538.sdf
OC(C(C)=O)NC(NCCC[C@H](NC(C)=O)C(=O)O)=N	Nomega-(1-hydroxy-2-oxopropyl)-Nalpha-acetyl-L-arginine	mol_4540.sdf
O=C(CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O	N-(4-oxoglutaryl)-L-cysteinylglycine	mol_4541.sdf
C(C(C)C)(=O)N[C@@H](CCSC)C(=O)O	N-isobutanoyl-L-methionine	mol_4575.sdf
C1(CCCCC1)C(=O)N[C@@H](CCSC)C(=O)O	N-cyclohexanoyl-L-methionine	mol_4571.sdf
C(CC(C)C)(=O)N[C@@H](CCSC)C(=O)O	N-isopentanoyl-L-methionine	mol_4562.sdf
C(C)(=O)N[C@@H](CC1=CNC=N1)C(=O)O	N-acetyl-L-histidine	mol_4531.sdf
C(C)(=O)N[C@@H](CCSCC)C(=O)O	N-acetyl-L-ethionine	mol_4569.sdf
C1(CCCC1)C(=O)N[C@@H](CCSC)C(=O)O	N-cyclopentanoyl-L-methionine	mol_4576.sdf
C(C)(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O	N-acetyl-L-phenylalanine	mol_4533.sdf
C(C)(=O)N[C@@H](C(C)C)C(=O)O	N-acetyl-L-valine	mol_4566.sdf
C(CCC)(=O)N[C@@H](CCSC)C(=O)O	N-butanoyl-L-methionine	mol_4564.sdf
C(C)(=O)N[C@@H](CC(C)C)C(=O)O	N-acetyl-L-leucine	mol_4561.sdf
C(=O)N[C@@H](CCSC)C(=O)O	N-formyl-L-methionine	mol_4574.sdf
C(CCCCC)(=O)N[C@@H](CCSC)C(=O)O	N-hexanoyl-L-methionine	mol_4565.sdf
C(CC)(=O)N[C@@H](CCSC)C(=O)O	N-propionyl-L-methionine	mol_4563.sdf
C(C)(=O)N[C@@H](CCCC)C(=O)O	N-acetyl-L-norleucine	mol_4567.sdf
C(C)(=O)N[C@@H]([C@H](O)C)C(=O)O	N-acetyl-L-threonine	mol_4570.sdf
C(C)(=O)N[C@@H](CCC(N)=O)C(=O)O	N-acetyl-L-glutamine	mol_4578.sdf
C(C1=CC=CC=C1)(=O)N[C@@H](CCSC)C(=O)O	N-benzoyl-L-methionine	mol_4558.sdf
C(CCCC)(=O)N[C@@H](CCSC)C(=O)O	N-pentanoyl-L-methionine	mol_4560.sdf
C(C)(=O)NCC(=O)O	N-acetyl-glycine	mol_4577.sdf
C(C1=CC=CC=C1)(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-]	N-benzoyl-L-glutamate	mol_5668.sdf
C(C)(=O)N[C@@H](CCSC)C(=O)O	N-acetyl-L-methionine	mol_4559.sdf
ClC(C(=O)N[C@@H](CC(=O)[O-])C(=O)[O-])Cl	N-dichloroacetyl-L-aspartate	mol_4580.sdf
ClCC(=O)N[C@@H](CC(=O)[O-])C(=O)[O-]	N-Chloroacetyl-L-aspartate	mol_4581.sdf
FC(C(=O)N[C@@H](CC(=O)[O-])C(=O)[O-])(F)F	N-trifluoroacetyl-L-aspartate	mol_4579.sdf
C(C)(=O)N[C@@H](CC(=O)[O-])C(=O)[O-]	N-acetyl-L-aspartate	mol_4582.sdf
C(=O)N[C@@H](CC(=O)[O-])C(=O)[O-]	N-formyl-L-aspartate	mol_4583.sdf
C(CCC(=O)O)(=O)N[C@@H](CCC[C@H](N)C(=O)O)C(=O)O	N-succinyl LL-diaminopimelic acid	mol_4584.sdf
C(CC(C(=O)O)N)CC(C(=O)O)NC(=O)CCC(=O)O	N-succinyl-LL-2,6-diaminoheptanedioate	mol_4585.sdf
CC=1C=NC=C(C(=O)N)C1	5-Methylnicotinamide	mol_4587.sdf
N1=C(C=NC=C1)C(=O)N	Pyrazinamide	mol_4588.sdf
C(C1=CC=CC=C1)(=O)N	Benzamide	mol_4586.sdf
CCCCCCCCCCCCCCCCCC(=O)NC(CO)C(C=CCCCCCCCCCCCCC)O	C18-ceramide	mol_4589.sdf
CC(CCC(=O)NCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	glycochenodeoxycholic acid	mol_4600.sdf
CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	taurochenodeoxycholic acid	mol_4598.sdf
CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	taurocholic acid	mol_410.sdf
CC(CCC(=O)NCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	glycocholic acid	mol_401.sdf
CC(CCC(=O)NCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C	glycodeoxycholic acid	mol_4599.sdf
CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C	taurodeoxycholic acid	mol_4597.sdf
P(=O)(O)(O)OC[C@@H]1[C@H]([C@@H]([C@H](C(O)O1)NC=O)O)O	N-formyl-D-glucosamine 6-phosphate	mol_4604.sdf
P(=O)(O)(O)OC[C@@H]1[C@H]([C@@H]([C@H](C(O)O1)NC(C)=S)O)O	N-thioacetyl-D-glucosamine 6-phosphate	mol_4602.sdf
P(=O)(O)(O)OC[C@@H]1[C@H]([C@@H]([C@H](C(O)O1)NC(C)=O)O)O	N-acetyl-D-glucosamine 6-phosphate	mol_4601.sdf
S(=O)(=O)(O)OC[C@@H]1[C@H]([C@@H]([C@H](C(O)O1)NC(C)=O)O)O	N-acetyl-D-glucosamine 6-sulfate	mol_4605.sdf
P(=O)(O)(O)OC[C@@H]1[C@@H]([C@@H]([C@H](C(O)O1)NC(C)=O)O)O	N-Acetyl-D-galactosamine 6-phosphate	mol_4606.sdf
P(=O)(O)(O)OC[C@@H]1[C@H]([C@@H]([C@H](C(O)O1)NC(C(F)(F)F)=O)O)O	N-trifluoroacetyl-D-glucosamine 6-phosphate	mol_4603.sdf
C(CC)(=O)N	Propionamide	mol_4615.sdf
C(C=C)(=O)N	Acrylamide	mol_4614.sdf
C(C)(=O)N	acetamide	mol_4613.sdf
NCCCCCC(=O)NCCCCCC([O-])=O	6-aminohexanoate dimer	mol_4624.sdf
C(C)(=O)NCCCCN	acetylputrescine	mol_4630.sdf
NCCCCCCCCNC(C)=O	N-(8-aminooctyl)acetamide	mol_4626.sdf
C(CCC)NC(C)=O	N-butylacetamide	mol_4631.sdf
C(C)(=O)NCCCCCN	Acetylcadaverine	mol_4625.sdf
C(C)(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(C)=O)C(=O)NC1=CC=C2C(=CC(OC2=C1)=O)C	7-(Nalpha-acetyl-glycyl-L-alanyl-Nepsilon-acetyl-L-lysyl)amino-4 methylcoumarin	mol_4628.sdf
C(C)(=O)N[C@@H](C)C(=O)N[C@@H](CCCCNC(C)=O)C(=O)N[C@@H](C)C(=O)N	Nalpha-acetyl-L-alanyl-Nepsilon-acetyl-L-lysyl-L-alaninamide	mol_4633.sdf
CC(=O)NCCCCNCCCN	N8-Acetylspermidine	mol_4632.sdf
CC(=O)NCCCCNCCCNC(=O)C	N1,N8-diacetylspermidine	mol_4627.sdf
C(C)(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(=O)N[C@@H](CCCCNC(C)=O)C(=O)C1=CC=C2C(=C(C(OC2=C1)=O)N)C	7-(Nalpha-acetyl-L-arginyl-glycyl-Nepsilon-acetyl-L-lysyl)-amino-4 methylcoumarin	mol_4629.sdf
C(=O)(N)NC(=O)[O-]	urea-1-carboxylate	mol_4636.sdf
C(NC(=O)N)(=O)[O-]	allophanate	mol_4635.sdf
C(CC(=O)N)(=O)O	malonamic acid	mol_4637.sdf
C(N)(=O)NCCC(=O)O	N-Carbamoyl-beta-alanine	mol_4638.sdf
NC(=O)NC(=O)N	Biuret	mol_4644.sdf
CC(C(=O)O)NC(=O)C(CCSC)NC=O	N-formyl-Met-Ala	mol_4647.sdf
CC(C(=O)NC(CO)C(=O)O)NC(=O)C(CCSC)NC=O	N-formyl-Met-Ala-Ser	mol_4648.sdf
C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)NC=O	N-formyl-L-kynurenine	mol_4667.sdf
CN1CC(=O)N=C1N	creatinine	mol_4684.sdf
C(N)(=O)N[C@@H](CC(=O)[O-])C(=O)[O-]	N-carbamoyl-L-aspartate	mol_4689.sdf
NC(=O)N[C@@H](CC(=O)O)C(=O)O	N-(aminocarbonyl)-L-aspartic acid	mol_4692.sdf
C([C@@H]1CC(=O)NC(=O)N1)(=O)[O-]	(S)-dihydroorotate	mol_4693.sdf
C1C(=C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CS3)C(=O)O)C=CC4=C(C=C(C=C4)[N+](=O)[O-])[N+](=O)[O-]	nitrocefin	mol_4711.sdf
CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]	ceftazidime	mol_4696.sdf
CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)O	cefalotin	mol_4698.sdf
CC(C1C2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O	Imipenem	mol_4697.sdf
CC1C2C(C(=O)N2C(=C1SC3CC(NC3)CNS(=O)(=O)N)C(=O)O)C(C)O	doripenem	mol_4700.sdf
CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)N(C)C)C(=O)O)C(C)O	meropenem	mol_4695.sdf
COC1(C2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)CC3=CC=CS3	cefoxitin	mol_4699.sdf
CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)O	cefotaxime	mol_4703.sdf
CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)O	cephalothin	mol_4702.sdf
C1C(=C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CS3)C(=O)[O-])C[N+]4=CC=CC=C4	cephaloridine	mol_4704.sdf
O[C@H](C(=O)ONC(OCC1=CC=CC=C1)=O)C1=CC=CC=C1	benzyl [[(2S)-2-hydroxy-2-phenylacetyl]oxy]carbamate	mol_4720.sdf
CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C	benzylpenicillin	mol_4708.sdf
O[C@H](C(=O)ONC(OCC1=CC=CC=C1)=O)CCC1=CC=CC=C1	benzyl [[(2S)-2-hydroxy-4-phenylbutanoyl]oxy]carbamate	mol_4709.sdf
O[C@H](C(=O)ONC(OCC1=CC=CC=C1)=O)C	benzyl [[(2S)-2-hydroxypropanoyl]oxy]carbamate	mol_4719.sdf
C(C1=CC=CC=C1)NC([C@H](C(=O)OCC=1C=C(C(=O)O)C=CC1)OC)=O	3-([[(2R)-3-(benzylamino)-2-methoxy-3-oxopropanoyl]oxy]methyl)benzoic acid	mol_5669.sdf
O[C@H](C(=O)ONC(OCC1=CC=CC=C1)=O)CC1=CC=CC=C1	benzyl [[(2S)-2-hydroxy-3-phenylpropanoyl]oxy]carbamate	mol_4717.sdf
C(C1=CC=CC=C1)NC([C@H](C(=O)OCC=1C=C(C(=O)O)C=CC1)C)=O	3-([[(2R)-3-(benzylamino)-2-methyl-3-oxopropanoyl]oxy]methyl)benzoic acid	mol_4706.sdf
C(C1=CC=CC=C1)NC([C@@H](C(=O)OCC=1C=C(C(=O)O)C=CC1)OC)=O	3-([[(2S)-3-(benzylamino)-2-methoxy-3-oxopropanoyl]oxy]methyl)benzoic acid	mol_5670.sdf
C(C1=CC=CC=C1)C(C(=O)OCC=1C=C(C(=O)O)C=CC1)C(NCC1=CC=CC=C1)=O	3-([[2-benzyl-3-oxo-3-(benzylamino)propanoyl]oxy]methyl)benzoic acid	mol_4712.sdf
O[C@H](C(=O)OC1=CC(=CC=C1)[N+](=O)[O-])CC1=CC=CC=C1	3-nitrophenyl (2S)-2-hydroxy-3-phenylpropanoate	mol_4713.sdf
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)O)C(=O)O)C	carbenicillin	mol_4723.sdf
CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O	Cloxacillin	mol_4721.sdf
O[C@@H](C(=O)ONC(OCC1=CC=CC=C1)=O)CC1=CC=CC=C1	benzyl [[(2R)-2-hydroxy-3-phenylpropanoyl]oxy]carbamate	mol_4716.sdf
O[C@H](C(=O)OC=1C=C(C(=O)O)C=CC1)CC1=CC=CC=C1	3-[[(2S)-2-hydroxy-3-phenylpropanoyl]oxy]benzoic acid	mol_4707.sdf
CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O	Oxacillin	mol_4726.sdf
C(C1=CC=CC=C1)N(C(CC(=O)OC=1C=C(C(=O)O)C=CC1)=O)CC1=CC=CC=C1	3-([3-dibenzylamino-3-oxopropanoyl]oxy)benzoic acid	mol_4710.sdf
CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)O	cefazolin	mol_4714.sdf
C(C1=CC=CC=C1)N(C(CC(=O)OC=1C=C(C(=O)O)C=CC1)=O)C	3-([3-[benzyl(methyl)amino]-3-oxopropanoyl]oxy)benzoic acid	mol_4715.sdf
C(C1=CC=CC=C1)NC([C@@H](C(=O)OCC=1C=C(C(=O)O)C=CC1)C)=O	3-([[(2S)-3-(benzylamino)-2-methyl-3-oxopropanoyl]oxy]methyl)benzoic acid	mol_4718.sdf
C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-]	cefepime	mol_4705.sdf
C(=O)(O)C=1C=C(C=CC1[N+](=O)[O-])SCC1=C(N2C([C@@H]([C@H]2SC1)NC(CC=1SC=CC1)=O)=O)C(=O)O	(6R 7S)-3-[(3-carboxy-4-nitro-phenyl)sulfanylmethyl]-8-oxo-7-[(2-thiophen-2 ylacetyl)amino]-5-thia-1-azabicyclo-[4.2.0]-oct-2-ene-2-carboxylic acid	mol_4722.sdf
CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]	ceftaxidime	mol_4730.sdf
CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O	piperacillin	mol_4729.sdf
CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CSC=C3)C(=O)O)C(=O)O)C	ticarcillin	mol_4733.sdf
CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O	cefuroxime	mol_4701.sdf
CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N	aztreonam	mol_4732.sdf
CN1C(=NC(=O)C(=O)N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O	ceftriaxone	mol_4731.sdf
C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)S(=O)(=O)O)C(=O)[O-])C[N+]4=CC=C(C=C4)C(=O)N	cefsulodine	mol_4734.sdf
CC1(C(N2C(S1)C(C2=O)(NC(=O)C(C3=CSC=C3)C(=O)O)OC)C(=O)O)C	temocillin	mol_4736.sdf
CC(C1C2CC(=C(N2C1=O)C(=O)O)SC3CCN(C3)C(=N)C)O	panipenem	mol_4738.sdf
CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)NC4=CC=CC(=C4)C(=O)O)C(=O)O)C(C)O	ertapenem	mol_4727.sdf
CC(C1C2N(C1=O)C(=C(S2)C3CCCO3)C(=O)O)O	faropenem	mol_4737.sdf
CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC5=C4CCC5)C(=O)[O-]	cefpirome	mol_4740.sdf
CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)O	cephalotin	mol_4735.sdf
CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)(NC(=O)C(C4=CC=C(C=C4)O)C(=O)O)OC)OC2)C(=O)O	moxalactam	mol_4742.sdf
CC1C2C(C(=O)N2C(=C1SC3CN4C=NC=[N+]4C3)C(=O)[O-])C(C)O	biapenem	mol_4724.sdf
CCOC(=O)C(CCCN=C(N)N)NC(=O)C1=CC=CC=C1	N-alpha-benzoyl-L-arginine ethyl ester	mol_4749.sdf
COC([C@@H](NC(C1=CC=CC=C1)=O)CCCNC(N)=N)=O	benzoyl-L-arginine methyl ester	mol_4755.sdf
C(C)OC([C@@H](NC(C1=CC=CC=C1)=O)CCCNC(N)=N)=O	benzoyl-L-arginine ethyl ester	mol_4754.sdf
C(C1=CC=CC=C1)(=O)N[C@@H](CCCNC(N)=N)C(=O)O	benzoyl-L-arginine	mol_4750.sdf
C(C1=CC=CC=C1)(=O)N[C@@H](CCCNC(N)=N)C(=O)N	benzoyl-L-arginine amide	mol_4752.sdf
C(C1=CC=CC=C1)(=O)N[C@@H](CCCNC(N)=N)C(=O)O	Nalpha-benzoyl-L-arginine	mol_4751.sdf
C(C)OC([C@@H](NC(C1=CC=CC=C1)=O)CCCNC(N)=N)=O	Nalpha-benzoyl-L-arginine ethyl ester	mol_4757.sdf
C(C1=CC=CC=C1)(=O)N[C@@H](CCCNC(N)=N)C(=O)N	Nalpha-benzoyl-L-arginine amide	mol_4753.sdf
COC([C@@H](NC(C1=CC=CC=C1)=O)CCCNC(N)=N)=O	Nalpha-benzoyl-L-arginine methyl ester	mol_4756.sdf
N(C(=N)N)CCC(=O)[O-]	3-guanidinopropionate	mol_4758.sdf
N(C(=N)N)CCCC(=O)[O-]	4-Guanidinobutyrate	mol_4759.sdf
CN(C(NCCC[C@H](N)C(=O)O)=N)C	Nomega,Nomega-dimethyl-L-arginine	mol_4761.sdf
CSC(=NCCCC(C(=O)O)N)N	S-methyl-L-thiocitrulline	mol_4760.sdf
C(CC(C(=O)O)N)CN=C(N)NN	NG-Amino-L-arginine	mol_4765.sdf
CN=C(N)NCCCC(C(=O)O)N	NG-methyl-L-arginine	mol_4763.sdf
C(CC(C(=O)O)N)CN=C(N)NO	NG-Hydroxy-L-arginine	mol_4764.sdf
CN(C)C(=NCCCC(C(=O)O)N)N	NG,NG-dimethyl-L-arginine	mol_4762.sdf
N(C(=O)N)[C@H](N)C(=O)O	(S)-2-ureidoglycine	mol_4766.sdf
NNC(N)=NCCCC(N)C(O)=O	Nomega-amino-Arg	mol_4767.sdf
CN=C(N)NCCCC(C(=O)O)N	Nomega-methyl-Arg	mol_4768.sdf
N1C(=O)N=C(N)C=C1	cytosine	mol_4771.sdf
FC=1C(=NC(NC1)=O)N	5-fluorocytosine	mol_4770.sdf
CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N	blasticidin S	mol_4774.sdf
C1(=NC(=NC(=O)N1)N)N	ammeline	mol_4776.sdf
C1(=NC(=O)NC(=O)N1)N	ammelide	mol_4779.sdf
P(=O)(O)(O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O)O1)N)O)O	alpha-D-glucosamine 6-phosphate	mol_4786.sdf
[N+](=O)([O-])C1=CC=C(C(C(=O)[O-])=C1)N	5-nitroanthranilate	mol_4787.sdf
P(=O)(O)(O)NP(=O)(O)O	imidodiphosphoric acid	mol_4788.sdf
