SMILES	Ligand_name	Mol_ID	InChI	InChIKey
C(CCCCCCCCCCCCCCCCCCC)(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O	arachidoyl-CoA	mol_3198.sdf	InChI=1S/C41H74N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-32(50)69-25-24-43-31(49)22-23-44-39(53)36(52)41(2,3)27-62-68(59,60)65-67(57,58)61-26-30-35(64-66(54,55)56)34(51)40(63-30)48-29-47-33-37(42)45-28-46-38(33)48/h28-30,34-36,40,51-52H,4-27H2,1-3H3,(H,43,49)(H,44,53)(H,57,58)(H,59,60)(H2,42,45,46)(H2,54,55,56)/t30-,34-,35-,36+,40-/m1/s1	JYLSVNBJLYCSSW-IBYUJNRCSA-N
OC=1C=C(C=CC1O)CC(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O	3,4-dihydroxyphenylacetyl-CoA	mol_3212.sdf	InChI=1S/C29H42N7O19P3S/c1-29(2,24(42)27(43)32-6-5-19(39)31-7-8-59-20(40)10-15-3-4-16(37)17(38)9-15)12-52-58(49,50)55-57(47,48)51-11-18-23(54-56(44,45)46)22(41)28(53-18)36-14-35-21-25(30)33-13-34-26(21)36/h3-4,9,13-14,18,22-24,28,37-38,41-42H,5-8,10-12H2,1-2H3,(H,31,39)(H,32,43)(H,47,48)(H,49,50)(H2,30,33,34)(H2,44,45,46)/t18-,22-,23-,24+,28-/m1/s1	BWFUCVJSCADRJW-CECATXLMSA-N
OC=1C=C(C=C(C1)O)CC(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O	3,5-dihydroxyphenylacetyl-CoA	mol_3209.sdf	InChI=1S/C29H42N7O19P3S/c1-29(2,24(42)27(43)32-4-3-19(39)31-5-6-59-20(40)9-15-7-16(37)10-17(38)8-15)12-52-58(49,50)55-57(47,48)51-11-18-23(54-56(44,45)46)22(41)28(53-18)36-14-35-21-25(30)33-13-34-26(21)36/h7-8,10,13-14,18,22-24,28,37-38,41-42H,3-6,9,11-12H2,1-2H3,(H,31,39)(H,32,43)(H,47,48)(H,49,50)(H2,30,33,34)(H2,44,45,46)/t18-,22-,23-,24+,28-/m1/s1	MAFTTXQJASXWBB-CECATXLMSA-N
CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O	n-propionyl-CoA	mol_1893.sdf	InChI=1S/C24H40N7O17P3S/c1-4-15(33)52-8-7-26-14(32)5-6-27-22(36)19(35)24(2,3)10-45-51(42,43)48-50(40,41)44-9-13-18(47-49(37,38)39)17(34)23(46-13)31-12-30-16-20(25)28-11-29-21(16)31/h11-13,17-19,23,34-35H,4-10H2,1-3H3,(H,26,32)(H,27,36)(H,40,41)(H,42,43)(H2,25,28,29)(H2,37,38,39)/p-4	QAQREVBBADEHPA-UHFFFAOYSA-J
C(C=CC)(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O	2-butenoyl-CoA	mol_3211.sdf	InChI=1S/C25H40N7O17P3S/c1-4-5-16(34)53-9-8-27-15(33)6-7-28-23(37)20(36)25(2,3)11-46-52(43,44)49-51(41,42)45-10-14-19(48-50(38,39)40)18(35)24(47-14)32-13-31-17-21(26)29-12-30-22(17)32/h4-5,12-14,18-20,24,35-36H,6-11H2,1-3H3,(H,27,33)(H,28,37)(H,41,42)(H,43,44)(H2,26,29,30)(H2,38,39,40)/t14-,18-,19-,20+,24-/m1/s1	KFWWCMJSYSSPSK-CITAKDKDSA-N
OC(CC(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O)C	beta-hydroxybutyryl-CoA	mol_3210.sdf	InChI=1S/C25H42N7O18P3S/c1-13(33)8-16(35)54-7-6-27-15(34)4-5-28-23(38)20(37)25(2,3)10-47-53(44,45)50-52(42,43)46-9-14-19(49-51(39,40)41)18(36)24(48-14)32-12-31-17-21(26)29-11-30-22(17)32/h11-14,18-20,24,33,36-37H,4-10H2,1-3H3,(H,27,34)(H,28,38)(H,42,43)(H,44,45)(H2,26,29,30)(H2,39,40,41)/t13?,14-,18-,19-,20+,24-/m1/s1	QHHKKMYHDBRONY-RMNRSTNRSA-N
C(CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC)(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O	Arachidonoyl-CoA	mol_3181.sdf	InChI=1S/C41H66N7O17P3S/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-32(50)69-25-24-43-31(49)22-23-44-39(53)36(52)41(2,3)27-62-68(59,60)65-67(57,58)61-26-30-35(64-66(54,55)56)34(51)40(63-30)48-29-47-33-37(42)45-28-46-38(33)48/h8-9,11-12,14-15,17-18,28-30,34-36,40,51-52H,4-7,10,13,16,19-27H2,1-3H3,(H,43,49)(H,44,53)(H,57,58)(H,59,60)(H2,42,45,46)(H2,54,55,56)/b9-8-,12-11-,15-14-,18-17-/t30-,34-,35-,36+,40-/m1/s1	JDEPVTUUCBFJIW-YQVDHACTSA-N
C(CCCCC)(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O	n-hexanoyl-CoA	mol_3201.sdf	InChI=1S/C27H46N7O17P3S/c1-4-5-6-7-18(36)55-11-10-29-17(35)8-9-30-25(39)22(38)27(2,3)13-48-54(45,46)51-53(43,44)47-12-16-21(50-52(40,41)42)20(37)26(49-16)34-15-33-19-23(28)31-14-32-24(19)34/h14-16,20-22,26,37-38H,4-13H2,1-3H3,(H,29,35)(H,30,39)(H,43,44)(H,45,46)(H2,28,31,32)(H2,40,41,42)/t16-,20-,21-,22+,26-/m1/s1	OEXFMSFODMQEPE-HDRQGHTBSA-N
OC(CC(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O)(CC(=O)O)C	3-hydroxy-3-methylglutaryl-CoA	mol_342.sdf	InChI=1S/C27H44N7O20P3S/c1-26(2,21(40)24(41)30-5-4-15(35)29-6-7-58-17(38)9-27(3,42)8-16(36)37)11-51-57(48,49)54-56(46,47)50-10-14-20(53-55(43,44)45)19(39)25(52-14)34-13-33-18-22(28)31-12-32-23(18)34/h12-14,19-21,25,39-40,42H,4-11H2,1-3H3,(H,29,35)(H,30,41)(H,36,37)(H,46,47)(H,48,49)(H2,28,31,32)(H2,43,44,45)/t14-,19-,20-,21+,25-,27?/m1/s1	CABVTRNMFUVUDM-SJBCKIPMSA-N
OC=1C=C(C(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]2[C@H]([C@H]([C@@H](O2)N2C=NC=3C(N)=NC=NC23)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O)C=CC1	3-hydroxybenzoyl-CoA	mol_3208.sdf	InChI=1S/C28H40N7O18P3S/c1-28(2,22(39)25(40)31-7-6-18(37)30-8-9-57-27(41)15-4-3-5-16(36)10-15)12-50-56(47,48)53-55(45,46)49-11-17-21(52-54(42,43)44)20(38)26(51-17)35-14-34-19-23(29)32-13-33-24(19)35/h3-5,10,13-14,17,20-22,26,36,38-39H,6-9,11-12H2,1-2H3,(H,30,37)(H,31,40)(H,45,46)(H,47,48)(H2,29,32,33)(H2,42,43,44)/t17-,20-,21-,22+,26-/m1/s1	JTBCMZVWWNFUFR-TYHXJLICSA-N
ClC1=CC=C(C(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]2[C@H]([C@H]([C@@H](O2)N2C=NC=3C(N)=NC=NC23)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O)C=C1	4-chlorobenzoyl-CoA	mol_3213.sdf	InChI=1S/C28H39ClN7O17P3S/c1-28(2,22(39)25(40)32-8-7-18(37)31-9-10-57-27(41)15-3-5-16(29)6-4-15)12-50-56(47,48)53-55(45,46)49-11-17-21(52-54(42,43)44)20(38)26(51-17)36-14-35-19-23(30)33-13-34-24(19)36/h3-6,13-14,17,20-22,26,38-39H,7-12H2,1-2H3,(H,31,37)(H,32,40)(H,45,46)(H,47,48)(H2,30,33,34)(H2,42,43,44)/t17-,20-,21-,22+,26-/m1/s1	DEPSOKCZMQPCBI-TYHXJLICSA-N
FC1=CC=C(C(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]2[C@H]([C@H]([C@@H](O2)N2C=NC=3C(N)=NC=NC23)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O)C=C1	4-fluorobenzoyl-CoA	mol_5608.sdf	InChI=1S/C28H39FN7O17P3S/c1-28(2,22(39)25(40)32-8-7-18(37)31-9-10-57-27(41)15-3-5-16(29)6-4-15)12-50-56(47,48)53-55(45,46)49-11-17-21(52-54(42,43)44)20(38)26(51-17)36-14-35-19-23(30)33-13-34-24(19)36/h3-6,13-14,17,20-22,26,38-39H,7-12H2,1-2H3,(H,31,37)(H,32,40)(H,45,46)(H,47,48)(H2,30,33,34)(H2,42,43,44)/t17-,20-,21-,22+,26-/m1/s1	ORILDBXADZMSHG-TYHXJLICSA-N
CC1=CC=C(C(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]2[C@H]([C@H]([C@@H](O2)N2C=NC=3C(N)=NC=NC23)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O)C=C1	4-methylbenzoyl-CoA	mol_3218.sdf	InChI=1S/C29H42N7O17P3S/c1-16-4-6-17(7-5-16)28(41)57-11-10-31-19(37)8-9-32-26(40)23(39)29(2,3)13-50-56(47,48)53-55(45,46)49-12-18-22(52-54(42,43)44)21(38)27(51-18)36-15-35-20-24(30)33-14-34-25(20)36/h4-7,14-15,18,21-23,27,38-39H,8-13H2,1-3H3,(H,31,37)(H,32,40)(H,45,46)(H,47,48)(H2,30,33,34)(H2,42,43,44)/t18-,21-,22-,23+,27-/m1/s1	UVPLYHXZJGQOQS-SXQYHYLKSA-N
FC(C1=CC=C(C(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]2[C@H]([C@H]([C@@H](O2)N2C=NC=3C(N)=NC=NC23)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O)C=C1)(F)F	4-trifluoromethylbenzoyl-CoA	mol_3216.sdf	InChI=1S/C29H39F3N7O17P3S/c1-28(2,22(42)25(43)35-8-7-18(40)34-9-10-60-27(44)15-3-5-16(6-4-15)29(30,31)32)12-53-59(50,51)56-58(48,49)52-11-17-21(55-57(45,46)47)20(41)26(54-17)39-14-38-19-23(33)36-13-37-24(19)39/h3-6,13-14,17,20-22,26,41-42H,7-12H2,1-2H3,(H,34,40)(H,35,43)(H,48,49)(H,50,51)(H2,33,36,37)(H2,45,46,47)/t17-,20-,21-,22+,26-/m1/s1	WCQAKTKWBLRRRN-TYHXJLICSA-N
COC1=CC=C(C(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]2[C@H]([C@H]([C@@H](O2)N2C=NC=3C(N)=NC=NC23)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O)C=C1	4-methoxybenzoyl-CoA	mol_3217.sdf	InChI=1S/C29H42N7O18P3S/c1-29(2,23(39)26(40)32-9-8-19(37)31-10-11-58-28(41)16-4-6-17(49-3)7-5-16)13-51-57(47,48)54-56(45,46)50-12-18-22(53-55(42,43)44)21(38)27(52-18)36-15-35-20-24(30)33-14-34-25(20)36/h4-7,14-15,18,21-23,27,38-39H,8-13H2,1-3H3,(H,31,37)(H,32,40)(H,45,46)(H,47,48)(H2,30,33,34)(H2,42,43,44)/t18-,21-,22-,23+,27-/m1/s1	DZMRBHYGJLVACA-SXQYHYLKSA-N
OC1=C(C=C(C2=CC=CC=C12)O)C(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O	1,4-dihydroxy-2-naphthoyl-CoA	mol_3220.sdf	InChI=1S/C32H42N7O19P3S/c1-32(2,26(44)29(45)35-8-7-21(41)34-9-10-62-31(46)18-11-19(40)16-5-3-4-6-17(16)23(18)42)13-55-61(52,53)58-60(50,51)54-12-20-25(57-59(47,48)49)24(43)30(56-20)39-15-38-22-27(33)36-14-37-28(22)39/h3-6,11,14-15,20,24-26,30,40,42-44H,7-10,12-13H2,1-2H3,(H,34,41)(H,35,45)(H,50,51)(H,52,53)(H2,33,36,37)(H2,47,48,49)/t20-,24-,25-,26+,30-/m1/s1	PYTINLGPKDJURZ-HSJNEKGZSA-N
OC=1C=C(C(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]2[C@H]([C@H]([C@@H](O2)N2C=NC=3C(N)=NC=NC23)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O)C=C(C1)O	3,5-dihydroxybenzoyl-CoA	mol_3223.sdf	InChI=1S/C28H40N7O19P3S/c1-28(2,22(40)25(41)31-4-3-18(38)30-5-6-58-27(42)14-7-15(36)9-16(37)8-14)11-51-57(48,49)54-56(46,47)50-10-17-21(53-55(43,44)45)20(39)26(52-17)35-13-34-19-23(29)32-12-33-24(19)35/h7-9,12-13,17,20-22,26,36-37,39-40H,3-6,10-11H2,1-2H3,(H,30,38)(H,31,41)(H,46,47)(H,48,49)(H2,29,32,33)(H2,43,44,45)/t17-,20-,21-,22+,26-/m1/s1	NGNUZNJQNJOURZ-TYHXJLICSA-N
OC1=C(C=CC2=CC=CC=C12)C(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O	1-hydroxy-2-naphthoyl-CoA	mol_3221.sdf	InChI=1S/C32H42N7O18P3S/c1-32(2,26(43)29(44)35-10-9-21(40)34-11-12-61-31(45)19-8-7-17-5-3-4-6-18(17)23(19)41)14-54-60(51,52)57-59(49,50)53-13-20-25(56-58(46,47)48)24(42)30(55-20)39-16-38-22-27(33)36-15-37-28(22)39/h3-8,15-16,20,24-26,30,41-43H,9-14H2,1-2H3,(H,34,40)(H,35,44)(H,49,50)(H,51,52)(H2,33,36,37)(H2,46,47,48)/t20-,24-,25-,26+,30-/m1/s1	ZHSLHXZSNOSMQG-HSJNEKGZSA-N
C(C=1C(O)=CC=CC1)(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O	salicylyl-CoA	mol_3222.sdf	InChI=1S/C28H40N7O18P3S/c1-28(2,22(39)25(40)31-8-7-18(37)30-9-10-57-27(41)15-5-3-4-6-16(15)36)12-50-56(47,48)53-55(45,46)49-11-17-21(52-54(42,43)44)20(38)26(51-17)35-14-34-19-23(29)32-13-33-24(19)35/h3-6,13-14,17,20-22,26,36,38-39H,7-12H2,1-2H3,(H,30,37)(H,31,40)(H,45,46)(H,47,48)(H2,29,32,33)(H2,42,43,44)/t17-,20-,21-,22+,26-/m1/s1	YTKKDFTVSNSVEE-TYHXJLICSA-N
OC=1C=C(C(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]2[C@H]([C@H]([C@@H](O2)N2C=NC=3C(N)=NC=NC23)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O)C=CC1O	3,4-dihydroxybenzoyl-CoA	mol_3224.sdf	InChI=1S/C28H40N7O19P3S/c1-28(2,22(40)25(41)31-6-5-18(38)30-7-8-58-27(42)14-3-4-15(36)16(37)9-14)11-51-57(48,49)54-56(46,47)50-10-17-21(53-55(43,44)45)20(39)26(52-17)35-13-34-19-23(29)32-12-33-24(19)35/h3-4,9,12-13,17,20-22,26,36-37,39-40H,5-8,10-11H2,1-2H3,(H,30,38)(H,31,41)(H,46,47)(H,48,49)(H2,29,32,33)(H2,43,44,45)/t17-,20-,21-,22+,26-/m1/s1	DBFZTJWNUVVQPZ-TYHXJLICSA-N
FCC(=O)SCCNC(CCNC([C@@H](C(COP(OP(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC=2C(N)=NC=NC12)O)OP(=O)(O)O)(=O)O)(=O)O)(C)C)O)=O)=O	fluoroacetyl-CoA	mol_3225.sdf	InChI=1S/C23H37FN7O17P3S/c1-23(2,18(35)21(36)27-4-3-13(32)26-5-6-52-14(33)7-24)9-45-51(42,43)48-50(40,41)44-8-12-17(47-49(37,38)39)16(34)22(46-12)31-11-30-15-19(25)28-10-29-20(15)31/h10-12,16-18,22,34-35H,3-9H2,1-2H3,(H,26,32)(H,27,36)(H,40,41)(H,42,43)(H2,25,28,29)(H2,37,38,39)/t12-,16-,17-,18+,22-/m1/s1	MXORLDKQFQCTLP-GRFIIANRSA-N
CCSC(=O)CC(=O)C	S-ethyl-acetothioacetate	mol_3227.sdf	InChI=1S/C6H10O2S/c1-3-9-6(8)4-5(2)7/h3-4H2,1-2H3	OMERQNHZTBWLMZ-UHFFFAOYSA-N
C(CSP(=O)(O)O)N	cysteamine S-phosphate	mol_3226.sdf	InChI=1S/C2H8NO3PS/c3-1-2-8-7(4,5)6/h1-3H2,(H2,4,5,6)	RZPNFYXFSHGGBE-UHFFFAOYSA-N
[N+](=O)([O-])C1=CC=C(C(=O)SCC)C=C1	S-(4-nitrobenzoyl)mercaptoethane	mol_3228.sdf	InChI=1S/C9H9NO3S/c1-2-14-9(11)7-3-5-8(6-4-7)10(12)13/h3-6H,2H2,1H3	OCUSVOYGBFETNB-UHFFFAOYSA-N
C[C@H](C(=O)SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N)O	S-D-lactoyltrypanothione	mol_3231.sdf	InChI=1S/C13H21N3O8S/c1-6(17)13(24)25-5-8(11(21)15-4-10(19)20)16-9(18)3-2-7(14)12(22)23/h6-8,17H,2-5,14H2,1H3,(H,15,21)(H,16,18)(H,19,20)(H,22,23)/t6-,7+,8+/m1/s1	VDYDCVUWILIYQF-CSMHCCOUSA-N
C([C@H](O)C)(=O)SC[C@H](NC(CC[C@H](N)C(=O)O)=O)C(=O)NCC(=O)O	S-D-lactoylglutathione	mol_3230.sdf	InChI=1S/C13H21N3O8S/c1-6(17)13(24)25-5-8(11(21)15-4-10(19)20)16-9(18)3-2-7(14)12(22)23/h6-8,17H,2-5,14H2,1H3,(H,15,21)(H,16,18)(H,19,20)(H,22,23)/t6-,7+,8+/m1/s1	VDYDCVUWILIYQF-CSMHCCOUSA-N
C(C(O)C)(=O)SC[C@H](NC(CC[C@H](N)C(=O)O)=O)C(=O)NCC(=O)O	S-Lactoylglutathione	mol_3178.sdf	InChI=1S/C13H21N3O8S/c1-6(17)13(24)25-5-8(11(21)15-4-10(19)20)16-9(18)3-2-7(14)12(22)23/h6-8,17H,2-5,14H2,1H3,(H,15,21)(H,16,18)(H,19,20)(H,22,23)/t6?,7-,8-/m0/s1	VDYDCVUWILIYQF-ALKRTJFJSA-N
P(=O)(OC1=CC=C(C=C1)[N+](=O)[O-])([O-])[O-]	4-nitrophenyl phosphate	mol_3004.sdf	InChI=1S/C6H6NO6P/c8-7(9)5-1-3-6(4-2-5)13-14(10,11)12/h1-4H,(H2,10,11,12)/p-2	XZKIHKMTEMTJQX-UHFFFAOYSA-L
P(=O)(OC1=CC=C(C=C1)[N+](=O)[O-])([O-])[O-]	p-nitrophenyl phosphate	mol_3243.sdf	InChI=1S/C6H6NO6P/c8-7(9)5-1-3-6(4-2-5)13-14(10,11)12/h1-4H,(H2,10,11,12)/p-2	XZKIHKMTEMTJQX-UHFFFAOYSA-L
CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)O)O	1-oleoyl-2-lyso-sn-glycerol 3-phosphate	mol_3252.sdf	InChI=1S/C21H41O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(23)27-18-20(22)19-28-29(24,25)26/h9-10,20,22H,2-8,11-19H2,1H3,(H2,24,25,26)	WRGQSWVCFNIUNZ-UHFFFAOYSA-N
P(=O)(O)(O)OC[C@@H](COC(CCCCCCCCCCCCC)=O)O	1-myristoyl-sn-glycerol 3-phosphate	mol_3253.sdf	InChI=1S/C17H35O7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-17(19)23-14-16(18)15-24-25(20,21)22/h16,18H,2-15H2,1H3,(H2,20,21,22)/t16-/m1/s1	FAZBDRGXCKPVJU-MRXNPFEDSA-N
P(=O)(O)(O)OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O	D-fructose 1,6-bisphosphate	mol_3254.sdf	InChI=1S/C6H14O12P2/c7-3(1-17-19(11,12)13)5(9)6(10)4(8)2-18-20(14,15)16/h3,5-7,9-10H,1-2H2,(H2,11,12,13)(H2,14,15,16)/t3-,5-,6-/m1/s1	XPYBSIWDXQFNMH-UYFOZJQFSA-N
P(=O)(O)(O)OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O	fructose 1,6-diphosphate	mol_3255.sdf	InChI=1S/C6H14O12P2/c7-3(1-17-19(11,12)13)5(9)6(10)4(8)2-18-20(14,15)16/h3,5-7,9-10H,1-2H2,(H2,11,12,13)(H2,14,15,16)/t3-,5-,6-/m1/s1	XPYBSIWDXQFNMH-UYFOZJQFSA-N
C(C1C(C(C(C(O1)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O)O)O)O	trehalose 6-phosphate	mol_3258.sdf	InChI=1S/C12H23O14P/c13-1-3-5(14)7(16)9(18)11(24-3)26-12-10(19)8(17)6(15)4(25-12)2-23-27(20,21)22/h3-19H,1-2H2,(H2,20,21,22)	LABSPYBHMPDTEL-UHFFFAOYSA-N
CC1=CC(=O)OC2=C(C(=C(C=C12)F)OP(=O)(O)O)F	6,8-difluoro-4-methylumbelliferyl phosphate	mol_3260.sdf	InChI=1S/C10H7F2O6P/c1-4-2-7(13)17-9-5(4)3-6(11)10(8(9)12)18-19(14,15)16/h2-3H,1H3,(H2,14,15,16)	DZANYXOTJVLAEE-UHFFFAOYSA-N
P(=O)(O)(O)OCC(=O)[O-]	2-Phosphoglycolate	mol_3279.sdf	InChI=1S/C2H5O6P/c3-2(4)1-8-9(5,6)7/h1H2,(H,3,4)(H2,5,6,7)/p-1	ASCFNMCAHFUBCO-UHFFFAOYSA-M
P(=O)(O)(O)OCC(=O)[O-]	Phosphoglycolate	mol_3280.sdf	InChI=1S/C2H5O6P/c3-2(4)1-8-9(5,6)7/h1H2,(H,3,4)(H2,5,6,7)/p-1	ASCFNMCAHFUBCO-UHFFFAOYSA-M
CC(C(=O)NC(C)C(=O)O)NC(=O)C(CC1=CC=C(C=C1)OP(=O)(O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)OCC2C3=CC=CC=C3C4=CC=CC=C24	Fmoc-EEY(P)AA	mol_3286.sdf	InChI=1S/C40H46N5O16P/c1-21(35(50)42-22(2)39(54)55)41-38(53)32(19-23-11-13-24(14-12-23)61-62(57,58)59)44-36(51)30(15-17-33(46)47)43-37(52)31(16-18-34(48)49)45-40(56)60-20-29-27-9-5-3-7-25(27)26-8-4-6-10-28(26)29/h3-14,21-22,29-32H,15-20H2,1-2H3,(H,41,53)(H,42,50)(H,43,52)(H,44,51)(H,45,56)(H,46,47)(H,48,49)(H,54,55)(H2,57,58,59)	GTADITZBYLFJRH-UHFFFAOYSA-N
CC(C(=O)NC(C)C(=O)O)NC(=O)C(CC1=CC=C(C=C1)OP(=O)(O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)N	EEY(P)AA	mol_3283.sdf	InChI=1S/C25H36N5O14P/c1-12(21(35)28-13(2)25(39)40)27-24(38)18(11-14-3-5-15(6-4-14)44-45(41,42)43)30-23(37)17(8-10-20(33)34)29-22(36)16(26)7-9-19(31)32/h3-6,12-13,16-18H,7-11,26H2,1-2H3,(H,27,38)(H,28,35)(H,29,36)(H,30,37)(H,31,32)(H,33,34)(H,39,40)(H2,41,42,43)	PADRNAOGQQAXCU-UHFFFAOYSA-N
C1C(C(OC1N2C=CC(=NC2=O)N)CO)OP(=O)(O)O.N	3'-dCMP	mol_3288.sdf	InChI=1S/C9H14N3O7P.H3N/c10-7-1-2-12(9(14)11-7)8-3-5(6(4-13)18-8)19-20(15,16)17;/h1-2,5-6,8,13H,3-4H2,(H2,10,11,14)(H2,15,16,17);1H3	VCTPYSBTEURORB-UHFFFAOYSA-N
C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)[O-])O)O)C(=O)N	nicotinamide mononucleotide	mol_2771.sdf	InChI=1S/C11H15N2O8P/c12-10(16)6-2-1-3-13(4-6)11-9(15)8(14)7(21-11)5-20-22(17,18)19/h1-4,7-9,11,14-15H,5H2,(H3-,12,16,17,18,19)	DAYLJWODMCOQEW-UHFFFAOYSA-N
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)O)O)N	3'-AMP	mol_3291.sdf	InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(17)7(4(1-16)21-10)22-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)	LNQVTSROQXJCDD-UHFFFAOYSA-N
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)OP(=O)(O)O)N	2'-AMP	mol_3281.sdf	InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(22-23(18,19)20)6(17)4(1-16)21-10/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)	QDFHPFSBQFLLSW-UHFFFAOYSA-N
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N	5'-AMP	mol_3282.sdf	InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)	UDMBCSSLTHHNCD-UHFFFAOYSA-N
