EC_number	UniProt_ID	Organism_name	WT_structures	Mutant_structures	Structure_type
3.1.1.32	K0J3J2	Streptomyces albidoflavus	-	4HYQ	Substrate only
3.1.1.41	Q9WXT2	Thermotoga maritima	-	5JIB,1VLQ,3M83,3M82,3M81	Substrate only
3.1.1.43	Q8VRK8	Acetobacter pasteurianus	-	1NX9,2B4K	Substrate only
3.1.1.45	P0A115	Pseudomonas knackmussii	-	1DIN,4U2C	Substrate only
3.1.1.57	O87170	Sphingomonas paucimobilis	-	4DI9,4DI8	Substrate only
3.1.1.59	Q9GPG0	Manduca sexta	-	2FJ0	Substrate only
3.1.1.6	P23872	Escherichia coli	-	4KRX,4KRY	Substrate only
3.1.1.7	P21836	Mus musculus	2WHQ,2WHP,7R2F,4B83,5FPP,2WU4,5OV9,7R3C,2Y2V,1KU6,2C0P,3ZLV,2C0Q,2Y2U,2XUI,3ZLU,7QAK,2XUD,2WU3,7R0A,4BC1,7R4E,1MAH,4BC0	2HA2,4B82,4B85,5EIE,2HA5,2HA0,2GYU,1N5M,2HA3,2HA6,4ARB,1N5R,7R02,4B7Z,1J07,1J06,4A23,2H9Y,2GYW,5HCU,1Q84,5EHQ,5EHZ,5FUM,4B80,3DL4,4ARA,7QYN,3DL7,4BTL,2JF0,2JGJ,2GYV,2JGF,7QB4,2WHR,2XUF,2HA4,2JEZ,3ZLT,4B84,2WLS,2XUG,2JGL,2JGE,5EHN,4A16,1Q83,2XUH,2XUJ,2HA7,6FSE,6FSD,2JEY,2XUQ,5EIH,2XUP,5EIA,5DTJ,2XUK,2XUO,6TD2,4B81,2JGK,2JGI,1MAA,2JGM,5FKJ	Substrate only
3.1.1.7	P22303	Homo sapiens	1VZJ,4EY8,7XN1,1F8U,2X8B,4BDT	4M0E,6NTO,6O5V,5HF5,4EY4,6WVO,5HF9,5HFA,8DT7,6CQZ,6NTL,6U37,6WUZ,6CQT,6CQW,6WVQ,5FOQ,6O4X,5HF6,4EY5,4M0F,6CQU,6WVP,6O4W,4EY7,6O50,6WV1,4EY6,6CQX,7RB6,5FPQ,6U34,6NTK,6NEA,6NTH,6CQY,7E3H,7D9O,6O66,6WUY,7E3D,6NTM,6WVC,5HQ3,7RB7,8DT5,6CQV,6WUV,6NTG,7D9Q,6NTN,1B41,5HF8,8DT4,6O5R,7RB5,6O5S,8DT2,7D9P,8AEV,6ZWE,6U3P,8AEN,6F25,6O52	Substrate only
3.1.1.73	A0A1D3S5H0	Fusarium oxysporum	-	8BHH,6FAT	Substrate only
3.1.1.73	E7DJY5	uncultured bacterium	-	4ZRS	Substrate only
3.1.1.73	O42807	Aspergillus niger	1UWC,1UZA	2HL6,2IX9,2BJH	Substrate only
3.1.1.74	A0A075B5G4	Humicola insolens	-	4OYL	Substrate only
3.1.1.74	E9LVH8	Thermobifida cellulosilytica	-	5LUI	Substrate only
3.1.1.74	E9LVH9	Thermobifida cellulosilytica	-	7QJS	Substrate only
3.1.1.79	H6BDX1	uncultured bacterium	-	5HC0,5HC2,5HC4	Substrate only
3.1.1.8	P06276	Homo sapiens	6QAA,2WSL,2WIK,2WIJ,1XLW,2WIG,1XLU,1XLV,2WIF,2WID,6I0B,6EMI,6QAE,6QAB,6QAD,8AM2,6XTA,8AM1,6I0C,4BBZ,6T9S,6T9P,2J4C,6QAC,2WIL,6I2T	6ZWI,7AWG,1P0I,7QHD,2XMB,4BDS,5NN0,3DJY,2XQF,8AI7,7QBR,7BO3,7AMZ,7AWI,2XQG,2XMD,7AWH,1P0P,6EP4,3DKK,7ZPB,6EQP,7Q1P,4B0O,7Q1N,1P0M,4AXB,2XQK,2XQJ,7BGC,2XMC,6EQQ,7BO4,1P0Q,7QHE,6R6W,7QBQ,4B0P,4AQD,5DYW,6R6V,2Y1K,6SAM,5LKR,5DYT,6EYF,6F7Q,2XQI,7Q1O,8CGO,5DYY,2XMG,4TPK,4XII,6EZ2,6RUA,7Q1M,5K5E,2PM8,6ESY,7AIY,6ESJ,3O9M	Substrate only
3.1.1.81	A0A023DFE8	Parageobacillus caldoxylosilyticus	-	6N9I,6N9R,6N9Q	Substrate only
3.1.1.81	A3FJ64	Bacillus thuringiensis	-	5EHT,4J5H	Substrate only
3.1.1.81	I7HB71	Chryseobacterium sp. StRB126	-	4ZO3	Substrate only
3.1.1.81	P0CJ63	Bacillus thuringiensis serovar kurstaki	-	3DHA,5EH9,3DHC,3DHB,7L5F,2BR6	Substrate only
3.1.1.81	T0BMH6	Alicyclobacillus acidoterrestris	-	6CGY,6CGZ,6CH0	Substrate only
3.1.1.84	Q9L9D7	Rhodococcus sp.	-	3I2K,1JU3,3IDA,1JU4,3I2H,1L7Q,3I2I,7F65,3I2F,3I2G	Substrate only
3.1.11.7	Q7Z2E3	Homo sapiens	-	6CVQ,4NDH,6CVR,4NDI,4NDF,6CVP,6CVS,6CVO,4NDG,6CVT	Substrate only
3.1.13.1	P30850	Escherichia coli	-	2ID0,2IX0	Substrate only
3.1.2.12	P40363	Saccharomyces cerevisiae	-	3C6B,4FLM	Substrate only
3.1.2.2	P0ADA1	Escherichia coli	-	5TIF,5TIE,5TID,1JRL,1J00,1V2G,1U8U	Substrate only
3.1.2.2	P9WM67	Mycobacterium tuberculosis	-	2PFC,3B18	Substrate only
3.1.2.20	P44886	Haemophilus influenzae	-	3BJK	Substrate only
3.1.2.20	P77712	Escherichia coli	-	1NJK	Substrate only
3.1.2.20	Q5T1C6	Homo sapiens	-	4GAH	Cofactor only
3.1.2.20	Q9NPJ3	Homo sapiens	-	3F5O	Substrate+Cofactor
3.1.2.23	P56653	Pseudomonas sp.	-	1LO7	Substrate+Cofactor
3.1.2.23	Q04416	Arthrobacter sp.	-	1Q4T,1Q4U,3R34,3R3A,1Q4S	Substrate+Cofactor
3.1.2.25	A0A0M3KL39	Streptococcus pneumoniae	-	4ZRB	Cofactor only
3.1.2.28	P0A8Y8	Escherichia coli	-	4K4C,4K4D	Substrate only
3.1.2.28	P77781	Escherichia coli	-	4K49,4K4A,4K4B,1SBK	Substrate only
3.1.2.29	Q1EMV2	Streptomyces cattleya	-	3KVI,3KV8,3KUW,3KW1,3KVU,3P3I,3KVZ,3KX8,3P2R	Substrate only
3.1.2.32	A0A0H2Z6F6	Pseudomonas aeruginosa	-	7TZ9,7TZA,7U6G	Substrate only
3.1.2.32	P20581	Pseudomonas aeruginosa	7R3F,7R3E	2VW8,2Q0I,5HIS,3DH8,5HIO,7KGW,5HIP,7KGX,2Q0J,5HIQ,7R3J,8B4A,8DQ0,8DQ1	Substrate only
3.1.2.6	Q16775	Homo sapiens	-	1QH5	Cofactor only
3.1.2.6	Q2PYN0	Leishmania infantum	-	2P18,2P1E	Substrate only
3.1.2.6	Q8ZRM2	Salmonella enterica subsp. enterica serovar Typhimurium	-	2QED	Substrate only
3.1.2.6	Q9SID3	Arabidopsis thaliana	-	1XM8,2Q42	Substrate only
3.1.21.7	Q8C9A2	Mus musculus	-	6OZN,6OZP,6OZL,6OZK,6OZM,6OZR,6OZQ,6OZO,6OZJ,6OZS	Substrate only
3.1.26.3	P0A7Y0	Escherichia coli	-	7R97	Substrate only
3.1.26.5	Q66GI4	Arabidopsis thaliana	-	6BV5,4G24,4G23,4G25,6BV8,6BV9,6BV6	Substrate only
3.1.3.1	P00634	Escherichia coli	1B8J,5GAD,5GAF	1EW9,1KH5,5C66,2GA3,1EW8,3DPC,1HJK,1KHJ	Substrate only
3.1.3.1	Q9KWY4	Antarctic bacterium TAB5	2W5V,2W5W,2W5X	-	Substrate only
3.1.3.103	Q8A712	Bacteroides thetaiotaomicron	-	3E8M,3E81,3E84,4HGO	Substrate only
3.1.3.106	P34913	Homo sapiens	-	5MWA,5AM2,5AI0,5AK4,5AI9,4X6X,5ALV,5AKI,5ALI,5AI8,5ALU,5AM4,5AM0,5AIC,5ALH,5AKK,5ALY,5AI4,3I28,5AIB,5ALE,4JNC,3ANS,5ALN,5AKL,5ALM,6I5G,5ALO,3WKA,5AKJ,4Y2P,5ALP,4C4Z,5AKX,3WK6,5AKH,4X6Y,5ALJ,3WK4,5AK6,5AM1,4Y2J,5ALT,4C4X,5AKY,5AKZ,5ALL,3WK7,5AM3,3WK8,3WK9,3WKB,3WKC,5ALW,5AK5,5ALX,5ALD,5AIA,5AKE,5AM5,5AK3,5AI5,1ZD3,5AI6,5ALZ,4Y2S,7EBA,4Y2Y,5ALF,5ALK,5FP0,1VJ5,3ANT,4Y2V,4Y2T,5ALG,4Y2Q,4C4Y,4Y2R,3I1Y,3WKD,4Y2X,5AKG,4HAI,5ALS,5ALR,3PDC,1S8O,1ZD5,1ZD4,3WKE,4Y2U,3WK5,5ALQ,3KOO,4J03,4OD0,4OCZ,6AUM,3OTQ,1ZD2	Substrate only
3.1.3.108	O30298	Archaeoglobus fulgidus	-	6B62,1LBZ,1LBY,6B5Z,1LBX,6B66,6B64,6B63,6B60,6B61,6B65	Substrate only
3.1.3.108	Q57573	Methanocaldococcus jannaschii	-	1G0H,1G0I	Substrate only
3.1.3.11	F9VMT6	Sulfurisphaera tokodaii	-	3R1M,1UMG	Substrate only
3.1.3.11	O97193	Leishmania major	-	5OFU,5OEY	Substrate only
3.1.3.11	P00636	Sus scrofa	1YYZ,1YXI,1YZ0,1FPJ,1FPL,1FPI	1NUW,1NUY,2QVU,1NUX,2F3B,1NV0,2F3D,1NV5,1NV4,1NV1,1NUZ,4GBW,1NV3,1KZ8,1FRP,2QVV,1RDZ,1FPF,1NV2,1FPD,5FBP,1NV7,1NV6,1LEV,1FPE,1RDY,1EYK,4GX3,1CNQ,1EYJ,1FSA,1FPG,1EYI,4GWX,1Q9D,4FBP,1FBH,1FJ9,1FJ6,1FBP,4GX4,4GX6,4H46,4GWZ,1FPB,1FBC,1FBF,4KXP,1RDX,4GWS,3FBP,1FBD,4GBV,1FBG,4GWU,1FBE,4GWY,4H45,4GWW	Substrate only
3.1.3.11	P09467	Homo sapiens	4MJO	7WJV,7C9Q,5Q09,5PZR,5PZU,5PZV,2JJK,5PZW,6LS5,7CVH,5Q02,2Y5K,5Q08,2Y5L,2VT5,5Q05,5PZY,2WBB,3KC1,5Q0B,5Q0A,1FTA,5Q03,5PZS,5Q06,2WBD,6LW2,5Q07,3KBZ,5PZZ,5Q04,5Q00,3A29,5Q01,5PZQ,7CVN,5PZX,7EZF,5PZT,3KC0,7EZP,2FIE,2FHY,7EZR,2FIX	Substrate only
3.1.3.11	P0A993	Escherichia coli	-	2GQ1,2Q8M,2OWZ,2OX3,2QVR	Substrate only
3.1.3.11	P0A9C9	Escherichia coli	-	3BIG,3D1R,3BIH,2R8T	Substrate only
3.1.3.11	P36136	Saccharomyces cerevisiae	-	3F3K,3OI7,3LL4,3LG2	Substrate only
3.1.3.11	P73922	Synechocystis sp.	-	3ROJ,3RPL	Substrate only
3.1.3.11	P9WN21	Mycobacterium tuberculosis	-	6AYU,6AYV,6AYY	Substrate only
3.1.3.11	Q8TZH9	Pyrococcus furiosus	-	7CVH	Apo only
3.1.3.12	A8NS89	Brugia malayi	-	5E0O	Substrate only
3.1.3.15	G7J7Q5	Medicago truncatula	-	5EQ7,5EQ8,5EQA,5EQ9,5T3J	Substrate only
3.1.3.15	P95189	Mycobacterium tuberculosis	-	5YHT	Substrate only
3.1.3.15	Q02150	Lactococcus lactis subsp. lactis	-	4GYF,4GK8	Substrate only
3.1.3.16	P62136	Homo sapiens	6OBR,6OBQ,6OBU,6G0I,6G0J	6ZEG,6DNO,3E7A,3E7B,6ZEJ,7T0Y,6ZEE,6ZK6,6ZEF,7TXH,8DWL,3EGH,3V4Y,6GHM,7TVF,6ALZ,7QM2,6OBN,7UPI	Substrate only
3.1.3.16	Q8X270	Thermococcus kodakarensis	-	5Z5A,5Z5B	Substrate only
3.1.3.16	Q96HS1	Homo sapiens	-	3MXO,3O0T	Substrate only
3.1.3.18	Q8CHP8	Mus musculus	-	4BKM,7POE	Substrate only
3.1.3.18	Q9HLQ2	Thermoplasma acidophilum	-	1L6R,1KYT	Substrate only
3.1.3.2	P09889	Sus scrofa	5UQ6,1UTE,7OV3,7OV2,7OV8	-	Substrate only
3.1.3.2	P0AE22	Escherichia coli	-	2B82,1RMT,2HEG,2HF7,3CZ4,1RMY,2G1A,2B8J	Substrate only
3.1.3.2	P15309	Homo sapiens	1ND6,2HPA,1ND5,1CVI	3PPD	Substrate only
3.1.3.2	P26093	Haemophilus influenzae	-	3OCU,3OCZ,3SF0,3OCV,3OCW,3OCX	Substrate only
3.1.3.2	Q9APF7	Legionella pneumophila	-	5CDH	Substrate only
3.1.3.25	P0ADG4	Escherichia coli	-	6IB8,2QFL	Substrate only
3.1.3.26	A2TBB4	Debaryomyces castellii	-	2GFI	Substrate only
3.1.3.26	P07102	Escherichia coli	-	7Z2T,7Z2W,7Z2S,7Z32,7Z2Y,1DKQ,4TSR,1DKP,1DKO,7Z3V	Substrate only
3.1.3.3	B6YX36	Thermococcus onnurineus	-	4AP9	Substrate only
3.1.3.45	P45314	Haemophilus influenzae	-	4HGP,1J8D	Substrate only
3.1.3.48	P17706	Homo sapiens	-	7F5O	Substrate only
3.1.3.48	P18031	Homo sapiens	1EEO,1EEN,1OEO,1OEV,1WAX,1OET,1OEU,1A5Y	7MN9,8G65,7MNA,7MOU,5QGF,8G67,8G69,6XEA,2F71,5QGB,5QDK,5QFE,5QF3,5QDQ,5QGC,5QFH,5QFK,3CWE,7MNE,5QEF,5QFU,8G6A,5QFQ,5QFR,5QDI,5QG8,5QFV,7MOV,7S4F,5QGA,5QFG,5QEZ,5QEL,5QG3,5QGD,5QFW,5QG9,5QDU,5QEC,5QEX,5QFN,5QFI,5QDH,5QE1,5QE9,5QFD,2CMB,2F6Z,2F6T,7MNF,2F6V,5QFF,5QGE,5QF0,5QDF,5QE7,5QEO,5QEV,5QFZ,5QET,5QF5,5QER,5QEB,5QG6,5QEU,4ZRT,5QFA,5QE3,5QEI,5QEA,5QDP,5QES,5QF7,5QDS,5QG0,5QEM,5QED,5QDJ,5QDE,5QF6,5QFY,7FRP,5QFP,5QF2,5QDV,5QE5,5QE6,5QEP,5QEN,5QEY,5QDR,5QE2,5QG4,7FRL,5QDG,5QDO,6XED,2BGE,2VEV,1C83,6B8Z,7FRJ,1C88,2CNE,1G7F,2CNH,7FRK,7MOW,5QG7,5QE8,8G68,6B8E,5QDN,5QDT,5QFL,5QFX,5QEW,7FRR,5QFM,7FRS,5QF4,5QDL,5QDY,7KLX,7FRH,7FRG,5KA1,5QFC,5QF1,1PTY,7RIN,6B8T,7MNC,7MM1,7FRN,7FRE,5QFO,5QFB,5QE4,5QFS,7FRT,7FRI,7FQU,7FQQ,7FQP,5K9V,4Y14,2CNG,3EAX,1AAX,5KAD,1T49,5KAC,7FQR,4QAP,5QEK,7FRM,4QBW,5QEJ,7FRO,7FQO,5QEE,5QF9,7FQM,5QEH,6B90,1ECV,6BAI,7MN7,1SUG,6B95,6XE8,5QFJ,5QFT,5KAA,5KAB,5QEG,5KA8,5QEQ,5QE0,7FRU,5QF8,5KA0,2CNI,2HB1,2AZR,2VEW,1G1F,7FRQ,5K9W,7FQN,7FQV,6XEF,3QKP,4BJO,6PM8,5KA7,5QDX,5QG5,5KA9,5KA2,7FQZ,8EYA,2CM8,2CM7,6PG0,6W30,2B07,2ZMM,7L0H,2QBS,1BZH,1C87,2NTA,1Q6N,2NT7,2QBQ,2ZN7,2FJM,5T19,7FQS,2F70,5QG2,6PHS,1GFY,7FQY,5KA3,5QDZ,1ONY,2F6Y,7FRF,6OL4,1PXH,8EXN,7FQW,1Q6S,7MNB,1Q6J,1T48,1Q6M,1PH0,1PYN,1G1G,3QKQ,2FJN,2VEY,2F6W,1G7G,2CNF,2CMC,1JF7,2VEX,6PGT,5QG1,5QDW,1BZJ,3I80,7MND,6PHA,2QBR,1C86,3D9C,1PTV,3I7Z,2B4S,1Q6T,2H4K,2CMA,1Q6P,1QXK,8EXJ,8EYB,8EXM,1KAV,1BZC,1C84,1ONZ,2VEU,8DU7,1NL9,1G1H,1NNY,1NO6,1NWL,1NZ7,2BGD,3EB1,4QAH,7FQX,2H4G,2QBP,1XBO,1LQF,1L8G,1KAK,4I8N,6XEE,7FQT,6XEG,1Q1M,1PTU,3ZMP,5QDM,1T4J,3EU0,1C85,2HNQ,1PTT,1NWE,8F88,3ZMQ	Substrate only
3.1.3.48	P23468	Homo sapiens	-	2YD6,4RCA,5WY8,5XNP	Substrate only
3.1.3.48	P23469	Homo sapiens	-	6D4F	Substrate only
3.1.3.48	P26045	Homo sapiens	-	4RI5,4RHG,4RI4,4RH9,4RH5,4S0G,6HKS,4QUM	Substrate only
3.1.3.48	P35236	Homo sapiens	-	3D44,3O4U,3D42,3O4T	Substrate only
3.1.3.48	Q15256	Homo sapiens	-	3D44	Apo only
3.1.3.48	Q9S427	Shewanella sp.	-	1V73	Substrate only
3.1.3.48	Q9Y6W6	Homo sapiens	-	1ZZW,7UMV,7U4O,7UMU,6MC1,7UN4,7UN0,7U4R	Substrate only
3.1.3.5	O32125	Bacillus subtilis	-	3PDW	Substrate only
3.1.3.5	P07024	Escherichia coli	1USH	1HP1,1HPU,1HO5,1OI8,2USH,4WWL	Substrate only
3.1.3.5	P49902	Homo sapiens	-	2JC9,5OPM,5OPK,2XCW,6DDZ,2XJC,2XJD,2XJF,6DE2,2JCM,2XCV,2XJB,2XJE,6DDQ,6DDH,4H4B,5CQZ,5CR7,6DE3	Substrate only
3.1.3.5	P76491	Escherichia coli	-	2PAQ,2PAR,2PAU	Substrate only
3.1.3.5	Q5ZZB6	Legionella pneumophila	-	4OHF,2BDE	Substrate only
3.1.3.5	Q9D020	Mus musculus	2Q4T	4FE3,4KX5,2G09,4KX3,2G06,2G07,2BDU,2G08,2G0A	Substrate only
3.1.3.52	Q8N3J5	Homo sapiens	-	4DA1,6AK7	Substrate only
3.1.3.7	P32179	Saccharomyces cerevisiae	1QGX	1KA1,1K9Z,1KA0,1K9Y	Substrate only
3.1.3.7	P9WKJ1	Mycobacterium tuberculosis	-	5DJH,5DJI,5DJG	Substrate only
3.1.3.7	Q7NXD4	Chromobacterium violaceum	2YB1	-	Substrate only
3.1.3.74	P60487	Mus musculus	-	4BX2,4BKM,5AES	Substrate only
3.1.3.74	Q96GD0	Homo sapiens	-	2OYC,2CFT,2P27,2P69,2CFR	Substrate only
3.1.3.75	Q9HTR2	Pseudomonas aeruginosa	-	4AS2,4AS3	Substrate only
3.1.3.82	P63228	Escherichia coli	-	3L8E,3L8F,3L8G	Substrate only
3.1.3.82	Q7WG29	Bordetella bronchiseptica	-	3L8H	Substrate only
3.1.3.82	Q98I56	Mesorhizobium loti	-	2O2X	Substrate only
3.1.3.84	P38218	Saccharomyces cerevisiae	-	6LFT,6LFR,6LFS,6LFU	Substrate only
3.1.3.86	O15357	Homo sapiens	5OKP,5OKO,5OKM,5OKN	4A9C,6SQU	Substrate only
3.1.3.89	P53144	Saccharomyces cerevisiae	-	5YOX	Substrate only
3.1.3.91	Q9H0P0	Homo sapiens	-	2VKQ	Substrate only
3.1.3.91	Q9W197	Drosophila melanogaster	-	4NV0,4NWI	Substrate only
3.1.3.92	O07565	Bacillus subtilis	-	3GYG	Substrate only
3.1.4.1	P38319	Saccharomyces cerevisiae	-	3SQ8	Substrate only
3.1.4.1	Q58346	Methanocaldococcus jannaschii	-	1S3L	Substrate only
3.1.4.12	Q92484	Homo sapiens	-	5EBB,5EBE	Substrate only
3.1.4.17	P22434	Saccharomyces cerevisiae	-	4OJX	Substrate only
3.1.4.17	Q9X1T1	Thermotoga maritima	-	5O58,5O70,5O4Z,5O25,5O1U,5O7F	Substrate only
3.1.4.2	A0A0U4VTN7	Thermocrispum sp. RD004668	-	7YMR	Substrate only
3.1.4.35	O76074	Homo sapiens	2CHM	1TBF,1XOZ,5JO3,1XP0,3HC8,3HDZ,2H44,3TGG,6L6E,3SIE,3TGE,1T9S,3BJC,4MD6,1RKP,3B2R,4I9Z,1T9R,4OEX,6IWI,4IA0,7FAQ,4G2W,1UDT,2H42,6VBI,4G2Y,7FAR,4OEW,3SHZ,1UHO,5ZZ2,3SHY,6ACB,1UDU,3JWQ,3JWR	Substrate only
3.1.4.37	P16330	Mus musculus	5AE0	4WDB,7QZK,2XMI,2Y1P,4WDA,4WCA,2YPC,4WDH,2YPE,2YQ9,4WDF,4WFR,4WBI,2YDC,4WDG,2YPH,2YOZ,3ZBZ,4WDD,2YDB,2YP0,3ZBR,2YDD,3ZBS,4WCC	Substrate only
3.1.4.41	Q8I914	Loxosceles laeta	-	1XX1,2F9R	Substrate only
3.1.4.52	Q9HX69	Pseudomonas aeruginosa	-	3SY8	Substrate only
3.1.4.53	O60658	Homo sapiens	-	3ECN,7VSL,7VTX,7VTW,7CWA,7CWF,7CWG,7VTV	Substrate only
3.1.4.53	P27815	Homo sapiens	-	2QYK,3I8V,3TVX	Substrate only
3.1.4.53	Q08499	Homo sapiens	6FW3,7AAG,7ABE,6FET,6FEB,6HWO,6IAG,6FE7,6RCW,6FT0,7ABJ,6FTW,7A9V,7AB9,7A8Q,5LBO,6IBF,6FTA,7ABD	1Y2K,1Y2B,6LRM,6FDC,6IMI,6IMT,6IMD,7CBJ,7B9H,6IMR,7YQF,1XOR,6IMB,1XOM,6IMO,2PW3,2QYN,7CBQ,5WH6,1TBB,6F8W,1TB7,7YSX,7AY6,1Y2C,6INK,1Y2D,6BOJ,6IM6,1XON,5WH5,6F8T,6F8R,6F6U,1XOQ,6F8V,6IND,6FDI,3G4I,3SL4,6F8X,3G4K,5K32,6INM,1OYN,2FM0,7XAB,2FM5,4OGB,3G58,3K4S,1ZKN,3V9B,6F8U,3SL3,1Y2E,7XBB,7F2K,7W4Y,7XAA,7F2L,6NJH,5TKB,4W1O,6KJZ,7F2M,7W4X,6KK0,1Q9M,1PTW,5WQA,6NJJ,3G4G,6AKR,4WCU,3SL6,6NJI,3G4L,3SL8,5K1I,3IAD,3SL5,3IAK,1MKD	Substrate only
3.1.4.55	P16692	Escherichia coli	-	3G1P,3P2U	Substrate only
3.1.4.59	A0QVM9	Mycolicibacterium smegmatis	-	4LS9	Substrate only
3.1.6.6	O69787	Sinorhizobium meliloti	7PTH,7PTJ	6G60,6G5Z,6FNY	Substrate only
3.1.8.1	P0A434	Brevundimonas diminuta	1DPM	2OB3,1HZY,1JGM,1I0D,1I0B,6AML,7P85,6FFW,4GY1,5WCQ,3UR5,6GBJ,2O4M,4E3T,6FRZ,6G3M,5W6B,6FS3,6FQE,3URB,6FWE,2OQL,3CAK,3URA,6GBK,1EZ2,1EYW,1QW7,8P7K,6GBL,6FU6,2O4Q,3CS2,3UPM,3URN,3UR2,1PSC,4ZSU,4ZST,6G1J,3URQ,3E3H	Substrate only
3.1.8.2	P0A433	Sphingobium fuliginis	-	1P6B,1P6C	Substrate only
3.1.8.2	Q7SIG4	Loligo vulgaris	-	3O4P,1PJX,7ZP5,7ZP7,2GVV,7ZP6,3BYC,3U0S,4O5T	Substrate only
3.11.1.1	O31156	Bacillus cereus	-	1SWW,1RQL,2IOF,1RDF,1FEZ	Substrate only
3.11.1.3	Q84G06	Variovorax sp.	-	2HJP,2DUA	Substrate only
3.13.1.4	K4L7X3	Advenella mimigardefordensis	-	5AHS	Substrate+Cofactor
3.13.1.7	H1AAP2	Thiobacillus thioparus	-	3VRK	Substrate only
3.13.2.1	P10760	Rattus norvegicus	1B3R	1XWF,2H5L,1D4F,1KY4,1KY5,1K0U	Substrate only
3.13.2.1	P23526	Homo sapiens	1A7A	1LI4,4PFJ,5W49,3NJ4,4PGF,5W4B,4YVF	Substrate only
3.13.2.1	P74008	Synechocystis sp. PCC 6803	-	7O5L,7ZD9,7ZD7,7ZD8,7O5M	Substrate only
3.13.2.1	Q9I685	Pseudomonas aeruginosa	-	6F3P,6F3Q,7ZD1,6F3O,6F3N,7ZD0,7ZD3,7ZD4,7ZD2	Substrate only
3.13.2.3	O58212	Pyrococcus horikoshii	-	2WR8,1WU8	Substrate only
3.2.1.1	P00690	Sus scrofa	1DHK,3L2M,1UA3,1JFH,3L2L,1PIG,1OSE,1PIF,1VAH	1HX0,1WO2,4X0N	Substrate only
3.2.1.1	P00693	Hordeum vulgare	-	1HT6,2QPU,3BSH	Substrate only
3.2.1.1	P04063	Hordeum vulgare	1BG9	-	Substrate only
3.2.1.1	P04746	Homo sapiens	5EMY,6Z8L,1HNY,1CPU,3CPU,1B2Y	5U3A,4X9Y,6OCN,4GQR,6OBX,4GQQ,4W93,5E0F,3IJ8,3OLI,3OLE,5KEZ,3IJ9,3BAI,3BAX,1KBB,1KBK,1U30,1XCX,3BAK,1U2Y,1U33,2QV4,3BAY,1KGU,1KGX,1XCW,3OLD,1XD0,1XGZ,1XH0,2CPU,1BSI,3IJ7,3BAW,1XH1,3BAJ,1KB3,1KGW,1XH2,1XD1,5TD4,2QMK,3OLG,5VA9	Substrate only
3.2.1.1	P06278	Bacillus licheniformis	1E3Z,1E40	-	Substrate only
3.2.1.1	P29957	Pseudoalteromonas haloplanktis	1G94,1G9H,1L0P	1AQM	Substrate only
3.2.1.10	P14410	Homo sapiens	-	3LPP,3LPO	Substrate only
3.2.1.10	P53051	Saccharomyces cerevisiae	-	3AXI,3A4A	Substrate only
3.2.1.100	Q8PI23	Xanthomonas citri	-	6BYC,6BYG,6BYE,6BYI	Substrate only
3.2.1.11	Q54443	Streptococcus mutans	-	3VMP	Substrate only
3.2.1.114	Q24451	Drosophila melanogaster	1PS3	3BVU,2OW6,1TQW,3DDF,1QWN,3DX1,3BUI,3EJR,2F7P,3CZS,1QX1,3BVV,3BLB,1TQS,3BVT,2F18,3EJU,3EJP,2F7R,3EJS,3EJT,3BUB,3DX4,3D4Z,1HTY,3DX2,3CZN,3DX3,3D51,2F7O,2F1A,2F1B,3EJQ,1HXK,3D4Y,6RQZ,6RRN,3CV5,3D52,6RPC,3DX0,3DDG,2OW7,3D50,1R33,6RS0,6RRX,3BUD,2F7Q,6RRY,2ALW,1HWW,6RRU,2FYV,1TQT,6RRJ,1R34,3BUQ,1TQV,1QWU,3BUP,1TQU,6RRH,6RRW	Substrate only
3.2.1.114	Q99YP5	Streptococcus pyogenes M1 GAS	-	2WYH,2WYI	Substrate only
3.2.1.120	Q2U8V9	Aspergillus oryzae	-	7EAP,5YOT,5YQS	Substrate only
3.2.1.123	A0A3S5YBC7	Rhodococcus equi	-	5J14,5CCU,5J7Z	Substrate only
3.2.1.123	O33853	Rhodococcus sp. M-777	-	2OSX,2OYK,2OSW,2OYL,2OYM	Substrate only
3.2.1.130	D6D1V7	Bacteroides xylanisolvens	5M03	6HMH,5M17,6FWJ,5M3W,6FWG,5M5D,6FWP,6FWL,6FAM,5LYR,5MC8,5MEL,4V28,6FWI,6HMG,6FWM,6FAR,4UTF,6FWO,6FWQ,4V27,4AD5,4AD4,4AD3,4AD2	Substrate only
3.2.1.130	Q8A109	Bacteroides thetaiotaomicron	-	4ACY,4AD0	Substrate only
3.2.1.131	Q21JW4	Saccharophagus degradans	-	4ZMH	Substrate only
3.2.1.133	G8N704	Geobacillus thermoleovorans	-	4E2O	Substrate only
3.2.1.133	I3RE04	Pyrococcus sp.	-	4CMR	Substrate only
3.2.1.139	A7M022	Bacteroides ovatus	-	4C91	Substrate only
3.2.1.14	A0A221ZS22	Ostrinia furnacalis	-	6JAV,6JAY,5Y29,6JAW,5Y2B,5Y2C	Substrate only
3.2.1.14	B1VBB0	Moritella marina	-	4MB4,4MB3,4MB5,4HMD	Substrate only
3.2.1.14	K7ZLW6	Paenibacillus sp.	-	5GZT,5GZV	Substrate only
