EC_number	UniProt_ID	Organism_name	Substrate_only	Cofactor_only	Substrate+Cofactor	Apo_structures
2.7.7.48	P29991	Dengue virus	3EVG_A	-	-	2R29_A,2R29_H,2R29_L,6FLA_A,6FLA_B,6FLA_G,6FLA_H,6FLA_I,6FLA_L
2.7.7.52	Q381M1	Trypanosoma brucei	2Q0C_A,2Q0D_A,2Q0E_A,2Q0G_A,2Q0G_B,2Q0F_A,2Q0F_B,5KAL_A,5KAL_B,2IKF_A,2NOM_A,2NOM_B	-	-	2Q0C_B,2Q0D_B,2Q0E_B,5KAL_Y,5KAL_Z,2IKF_B
2.7.7.53	P9WMK9	Mycobacterium tuberculosis	3ANO_A,3ANO_B,3WO5_A,3WO5_B	-	-	-
2.7.7.60	Q06755	Bacillus subtilis	5HS2_A	-	-	5HS2_B,5DDT_A,5DDT_B,5DDV_A
2.7.7.60	Q46893	Escherichia coli	1INI_A,1H3M_A,3N9W_A,3N9W_B,1I52_A	-	-	1H3M_B,1VGU_A,1VGU_B,1INJ_A,1VGT_A,1VGT_B
2.7.7.62	Q58517	Methanocaldococcus jannaschii	3RSB_A,3RSB_B,3RSB_C,3RSB_D	-	-	2MZB_A
2.7.7.64	D3G6S4	Leishmania major	3OH4_A,3OH3_A,3OH1_A,3OH2_A,3OH0_A	-	-	3OGZ_A
2.7.7.65	P0AA89	Escherichia coli	4ZVC_A,4ZVF_A,4ZVE_A	4ZVA_A,4ZVA_B,4ZVB_A,4ZVB_B,4ZVB_C,4ZVB_D	-	4ZVG_A,4ZVG_B,4ZVH_A,4ZVH_B,4ZVD_A,4ZVD_B,4ZVC_B
2.7.7.65	Q72MQ6	Leptospira interrogans serogroup Icterohaemorrhagiae serovar copenhageni Fiocruz L1-130	5W10_A,5W10_B,5W10_C,5W10_D	-	-	-
2.7.7.65	Q9X2A8	Thermotoga maritima	4URS_A,4URS_B,4URG_A	-	-	4URQ_U,4URQ_V,4URQ_W,4URQ_X,4URQ_Y,4URQ_Z,4URG_B
2.7.7.7	P19821	Thermus aquaticus	6FBG_A,6FBG_B,6FBG_C,7OWF_A,7OWF_B,3LWL_A,3LWL_B,3LWL_C,4XIU_B,3PO5_A,3PO5_B,3PO5_C,5NKL_A,5NKL_B,5NKL_C,4DFP_A,4DFP_B,4DFP_C,5YTE_A,5YTE_B,5E41_A,5E41_B,3SZ2_A,3SZ2_B,3SZ2_D,4ELV_A,4ELV_B,4ELV_C,5YTD_A,5YTD_B,5YTD_C,3SV4_A,3SV4_B,5YTG_A,5YTG_B,5YTG_C,3KTQ_B,3KTQ_A,5YTF_A,5YTF_B,5YTF_C,3PO4_A,3PO4_B,4C8N_A,4C8N_B,4C8N_C,5W6K_A,5W6K_B,5W6K_C,3RR8_A,3RR8_B,3RR8_C,4DFM_A,4DFM_B,3RTV_A,3RTV_B,4DLG_A,4DLG_B,4N56_B,5OXJ_A,5OXJ_B,5OXJ_C,1TAQ_A,6FBD_A,6FBD_B,4N5S_B,4N5S_A,4DFJ_A,4DFJ_B,4DFJ_C,3RRH_A,3RRH_B,3RRH_C,3M8R_A,3M8R_B,4C8K_A,4C8K_B,4C8K_C,6FBH_A,6FBH_B,6FBC_A,6FBC_B,6FBC_C,3M8S_A,3M8S_B,6Q4V_A,6Q4V_B,6Q4V_C,4ELT_A,4ELT_B,1QSY_B,1QSY_A,4BWJ_A,4BWJ_B,1QSS_B,1QSS_A,5KTQ_A,6Q4U_A,6Q4U_B,6Q4U_C,6FBI_A,6FBI_C,1TAU_A,4C8M_B,4C8M_C,3PY8_A,3PY8_B,5YTC_A,5YTC_B,5YTC_C,3SV3_A,3SV3_B,3SV3_C,4DF8_A,4DF8_B,4DF8_C,4C8O_B,4C8O_C,4DFK_A,4DFK_B,4DFK_C,4KTQ_B,3LWM_A,3LWM_B,6FBF_A,6FBF_B,3RR7_A,3RR7_B,3RR7_C,4C8L_B,4C8L_C,4DF4_A,4DF4_B,5YTH_A,5YTH_B,5YTH_C,3T3F_A,3T3F_B,3T3F_C,4BWM_A,4BWM_B,4BWM_G,4CCH_A,4CCH_B,4CCH_C,2KTQ_B,2KTQ_A,5W6Q_B,5W6Q_D,5W6Q_E,5W6Q_F,5W6Q_H,5W6Q_I,3RRG_A,3RRG_B,3RRG_C,4ELU_A,4ELU_B,5O7T_A,5O7T_B,6FBE_A,6FBE_B,6FBE_C,3SYZ_A,3SYZ_B,3SYZ_C,1QTM_B,1QTM_A,3OJU_A,3OJU_B,3OJU_C,4DLE_A,4DLE_B,3OJS_A,3OJS_B,3OJS_C,5SZT_A,5SZT_B,5Z3N_A,5Z3N_B,5Z3N_C	-	-	7OWF_C,4XIU_C,4XIU_A,5YTE_C,5E41_C,3SV4_C,1BGX_T,1BGX_L,1BGX_H,3KTQ_C,3PO4_C,4DFM_C,3RTV_C,4DLG_C,4N56_C,4N56_A,6FBD_C,4N5S_C,3M8R_C,6FBH_C,3M8S_C,4ELT_C,1QSY_C,4BWJ_C,1QSS_C,6FBI_B,1TAU_T,1TAU_P,4C8M_A,3PY8_C,1JXE_A,4C8O_A,4KTQ_C,4KTQ_A,3LWM_C,6FBF_C,4C8L_A,4DF4_C,1KTQ_A,2KTQ_D,5W6Q_A,5W6Q_C,5W6Q_G,4ELU_C,5O7T_C,1QTM_C,4DLE_C,5SZT_C
2.7.7.7	P26811	Saccharolobus solfataricus	-	-	-	1S5J_A
2.7.7.7	Q97W02	Saccharolobus solfataricus	3KHG_A,3KHG_B,3KHG_D,3KHG_E,3KHG_J,2W9A_A,2W9A_P,2W9A_T,3M9M_B,3M9M_T,3GIM_A,3GIM_D,3GIM_E,1S0N_A,2W8L_A,2W8L_P,2W8L_T,2UVW_A,2UVW_T,3KHR_A,3KHR_D,3KHR_E,3KHR_B,3KHR_H,3KHR_J,2BQU_A,2BQU_T,2JEG_A,2JEG_P,2JEG_T,6VKP_T,6VKP_A,6VKP_C,6VKP_D,2IMW_P,4TQR_P,4TQR_T,3RB4_A,3RB4_D,3RB4_E,3RB4_B,3RB4_H,3RB4_J,2UVR_A,2UVR_T,4F4Y_A,4F4Y_C,6VG6_P,6VG6_T,6VG6_C,6VG6_D,3PW5_A,3PW5_B,2ASJ_D,2ASJ_H,3KHH_A,3KHH_D,3KHH_E,3KHH_B,3KHH_H,3KHH_J,3V6J_A,3V6J_J,3V6J_P,3V6J_B,3V6J_K,3V6J_M,4QWE_A,2C2D_A,2C2D_T,1N48_B,1N48_C,4QWA_A,4TQS_A,4TQS_B,4TQS_C,4TQS_P,4TQS_T,3PR5_B,3QZ8_A,3RB6_A,3RB6_D,3RB6_E,3RB6_B,3RB6_H,3RB6_J,4JV2_A,4JV2_B,2JEF_A,2JEF_P,2JEF_T,3M9N_B,3M9N_T,2R8G_A,2R8G_T,3GII_A,3GII_E,2J6T_A,2J6T_T,4GC7_A,4GC7_B,3PVX_B,4RUA_A,4RUA_T,3PW0_A,3PW0_B,2ATL_D,2ATL_H,2ATL_A,2ATL_B,3RB3_A,3RB3_E,4RZR_B,4RZR_D,4RZR_E,2C22_A,2C22_T,3T5J_A,3T5J_B,2XC9_T,3M9O_B,3M9O_T,2W9B_C,2W9B_D,2W9B_E,2W9B_F,1S0M_D,1S0M_F,1S0M_A,1S0M_B,2J6U_P,2J6U_T,2C2R_A,2C2R_P,2C2R_T,2R8I_A,2R8I_T,2JEJ_A,2JEJ_T,2RDI_A,3QZ7_A,3GIJ_A,3GIJ_D,3GIJ_E,3GIJ_B,3GIJ_H,3GIJ_J,4RUC_A,4RUC_T,2ASL_D,2ASL_E,2ASL_H,2ASL_J,4QWB_A,4QWB_B,3T5L_A,3T5L_B,2RDJ_A,2VA2_A,2VA2_D,2VA2_E,2VA2_F,3T5H_A,3T5H_B,2XCA_A,2XCA_P,2XCA_T,2W9C_A,2W9C_B,2W9C_C,2W9C_D,2W9C_E,2W9C_F,2R8H_A,2R8H_T,2UVU_A,2UVU_T,1RYR_A,3RBD_A,3RBD_D,3RBD_E,3RBD_B,3RBD_H,3RBD_J,3FDS_A,3FDS_C,3FDS_D,3T5K_A,3T5K_B,4F4X_A,7KLE_A,7KLE_T,2V9W_A,2V9W_B,2V9W_D,2V9W_F,3PW2_A,3PW2_B,2IBK_E,2IBK_A,3GIK_A,3GIK_D,3GIK_E,4QW9_A,2C28_A,2C28_T,3PW7_A,3PW7_B,3PW7_E,3PW7_F,3RAQ_A,3RAQ_D,3RAQ_E,3RAQ_B,3RAQ_H,3RAQ_J,1JX4_A,1S10_A,3GIL_A,3GIL_B,3GIL_D,3GIL_E,3GIL_H,3GIL_J,7KLF_A,3PW4_A,3PW4_B,2BR0_A,2BR0_T,2UVV_A,2UVV_T,2ASD_D,2ASD_E,2ASD_H,2ASD_J,2ASD_A,2ASD_B,4QWC_A,4QWC_B,4QWC_D,4QWC_E,4FBU_T,4FBU_C,6VGM_A,6VGM_C,6VGM_D,6VGM_T,1S9F_A,1S9F_B,1S9F_C,1S9F_D,2AU0_D,2AU0_H,2IA6_A,2IA6_B,2IA6_C,2IA6_D,2IA6_F,2AGO_A,4JV1_A,4JV1_B,2W8K_A,2W8K_P,2W8K_T,4FBT_A,4FBT_T,4GC6_A,3V6K_P,3V6K_B,3V6K_K,3V6K_M,3V6H_T,3V6H_P,3V6H_C,3V6H_D,3V6H_A,3V6H_B,2BQ3_T,2VA3_A,2VA3_T,2V4R_A,2V4R_T,2J6S_A,2J6S_T,1S97_A,1S97_B,1S97_C,1S97_D,3RAX_A,3RAX_D,3RAX_E,3RAX_B,3RAX_H,3RAX_J,2AGP_C,2AGP_E,2AGP_A,2AGP_B,2JEI_A,2JEI_T,4F4W_A,4F4W_B,1JXL_T,1JXL_A,1RYS_F,1RYS_A,1RYS_B,2BQR_A,2BQR_T,6L97_T,6L97_P,2C2E_A,2C2E_T,4QW8_A,4QWD_A,6VNP_T,6VNP_A,6VNP_C,6VNP_D,6VNP_F,6VNP_G,6VNP_I,6VNP_J,1N56_D,1N56_F,1N56_A,1N56_B,1S0O_A,1S0O_B,3PR4_A,2AGQ_B,2AGQ_A,4JV0_A,4JV0_B,3KHL_A,3KHL_D,3KHL_E,3KHL_B,3KHL_H,3KHL_J,3RB0_A,3RB0_D,3RB0_E,3RB0_B,3RB0_H,3RB0_J,2XCP_A,2XCP_B,2XCP_E,2XCP_F,2XCP_P,2XCP_T,3RBE_A,3RBE_D,3RBE_E,3RBE_B,3RBE_H,3RBE_J,5EDW_A,2V4Q_A,2V4Q_T,4JUZ_A,4JUZ_B	-	-	3KHG_H,6L84_A,6L84_P,6L84_T,4F4Z_B,4F4Z_A,4F4Z_P,4F4Z_T,4F4Z_C,4F4Z_D,3M9M_P,1S0N_P,1S0N_T,2UVW_P,2BQU_P,6VKP_P,6VKP_B,2IMW_S,2IMW_T,4TQR_A,2UVR_P,4F4Y_B,4F4Y_D,4F4Y_P,4F4Y_T,6VG6_A,6VG6_B,3PW5_C,2ASJ_E,2ASJ_J,2ASJ_A,2ASJ_B,4QWE_C,4QWE_D,2C2D_P,1N48_A,4QWA_C,4QWA_D,4TQS_D,3PR5_P,3PR5_T,3QZ8_P,3QZ8_T,4JV2_C,3M9N_P,2R8G_P,3GII_D,2J6T_P,4GC7_C,4GC7_D,4GC7_E,4GC7_F,3PVX_A,3PVX_C,4RUA_P,3PW0_C,2ATL_E,2ATL_J,3RB3_D,4RZR_A,4RZR_C,4RZR_F,2C22_P,3T5J_C,2XC9_A,2XC9_P,3M9O_P,2W9B_A,2W9B_B,1S0M_C,1S0M_E,2J6U_A,2R8I_P,2JEJ_P,3QZ7_P,3QZ7_T,4RUC_P,2ASL_A,2ASL_B,4QWB_C,3T5L_C,2RDJ_C,2RDJ_D,2RDJ_E,2RDJ_F,2RDJ_B,2VA2_B,2VA2_C,3T5H_C,2R8H_P,2UVU_P,1RYR_B,1RYR_C,3T5K_C,4F4X_P,4F4X_T,7KLE_P,2V9W_C,2V9W_E,3PW2_C,2IBK_D,4QW9_C,4QW9_D,2C28_P,4G3I_C,4G3I_D,4G3I_E,4G3I_F,4G3I_A,4G3I_B,3PW7_C,3PW7_G,1JX4_P,1JX4_T,1S10_B,1S10_C,7KLF_T,7KLF_P,3PW4_C,2BR0_P,2UVV_P,4F50_A,4F50_P,4F50_T,4QWC_C,4QWC_F,4FBU_A,4FBU_B,4FBU_P,4FBU_D,6VGM_B,6VGM_P,1S9F_E,1S9F_I,1S9F_F,1S9F_J,1S9F_G,1S9F_K,1S9F_H,1S9F_L,2AU0_E,2AU0_J,2AU0_A,2AU0_B,2IA6_E,2AGO_B,2AGO_C,4JV1_C,4FBT_P,4GC6_P,4GC6_T,3V6K_A,3V6K_J,2BQ3_A,2BQ3_P,2VA3_P,2V4R_P,2J6S_P,1S97_E,1S97_I,1S97_F,1S97_J,1S97_G,1S97_K,1S97_H,1S97_L,2AGP_D,2AGP_F,2JEI_P,4F4W_P,4F4W_T,4F4W_E,4F4W_F,1JXL_P,1RYS_C,1RYS_D,1RYS_E,2BQR_P,6L97_A,6L97_B,2C2E_P,4QW8_C,4QW8_D,4QWD_C,4QWD_D,6VNP_P,6VNP_B,6VNP_E,6VNP_H,1N56_C,1N56_E,1S0O_C,1S0O_D,1S0O_E,1S0O_F,3PR4_P,3PR4_T,2AGQ_C,4JV0_C,5EDW_T,5EDW_P,2V4Q_P,4JUZ_C
2.7.7.7	P96022	Saccharolobus solfataricus	-	-	-	1IM4_A,1K1Q_A,1K1Q_B,1K1S_A
2.7.7.71	Q8GJ90	Yersinia pseudotuberculosis	5XHW_A	-	-	-
2.7.7.72	A0A1C7DQ98	Planococcus halocryophilus	7OQX_A,6QXN_A,6Q52_A,7OTR_A	-	-	6IBP_A,6TVZ_A,7OTL_A,6QY6_A
2.7.7.72	O28126	Archaeoglobus fulgidus	4X4Q_A,4X4Q_C,1TFW_B,1TFW_D,2DVI_A,4X4R_A,4X4R_C,4X4S_A,4X4S_C,3OVA_A,4X4V_A,4X4V_B,4X4V_C,4X4V_D,1R8C_A,3OUY_A,3OUY_B,3OUY_C,3OV7_A,3OV7_B,2ZHA_A,1UEU_A,4X4N_B,4X4U_A,4X4U_C,4X4U_E,4X4U_F,2DR8_A,2DRA_A,2ZH6_A,4X4T_B,4X4T_D,4X4T_E,4X4T_G,3OVS_A,3OVS_B,1SZ1_E,1SZ1_F,1UEV_A,3OVB_A,3OVB_B,3OVB_C,4X4O_A,4X4O_C,4X4O_D,1TFY_A,1TFY_B,1TFY_C,1TFY_D,1R8B_A,1R89_A	-	-	2DR9_B,2DR9_A,4X4Q_B,4X4Q_D,1TFW_E,1TFW_H,1TFW_F,1TFW_I,1TFW_G,1TFW_J,1TFW_A,1TFW_C,2ZH9_A,2ZH9_B,2DR7_B,2DR7_A,2DRB_B,2DRB_A,2DVI_B,2ZH2_B,2ZH2_A,4X4R_B,4X4R_D,4X4R_H,2ZHB_A,2ZHB_B,4X4S_B,4X4S_D,3OVA_C,3OUY_D,2ZH7_A,2ZH7_B,2ZH8_B,2ZH8_A,3OV7_C,3OV7_D,2ZHA_B,4X4N_A,4X4N_G,4X4N_C,4X4N_D,4X4N_E,4X4N_F,4X4N_I,4X4U_B,4X4U_D,4X4U_G,4X4U_H,2DR8_B,2ZH4_A,2ZH4_B,2DRA_B,4X4P_A,4X4P_B,4X4P_C,4X4P_D,4X4P_E,4X4P_F,4X4P_G,4X4P_H,2ZH3_A,2ZH3_B,2DR5_B,2DR5_A,2ZH6_B,4X4T_A,4X4T_C,4X4T_F,4X4T_H,4X4T_I,3OVS_C,3OVS_D,2ZH5_A,2ZH5_B,1SZ1_A,1SZ1_B,2ZH1_B,2ZH1_A,1R8A_A,3OVB_D,4X4O_B,1TFY_E,1TFY_H,1TFY_F,1TFY_I,1TFY_G,1TFY_J,1UET_A
2.7.7.72	Q7SIB1	Geobacillus stearothermophilus	1MIV_A,1MIV_B,1MIW_A,1MIW_B,1MIY_A,1MIY_B	-	-	-
2.7.7.72	Q96Q11	Homo sapiens	4X4W_A,4X4W_B	-	-	1OU5_A,1OU5_B
2.7.7.75	Q39054	Arabidopsis thaliana	6ETD_A,6GBF_A,6Q32_A,6GB4_A,6ETH_A,6GAX_A,1UUY_A,6GB9_A,1UUX_A,6GB0_A,6ETF_A,6GBC_A,1EAV_A,1EAV_B,1EAV_C,1EAV_D,1EAV_E,1EAV_F,1EAV_G,1EAV_H,6RMS_A,5G2S_A	-	-	1O8O_A,1O8O_B,1O8O_C,5G2R_A,1O8N_A,1O8N_B,1O8N_C,1O8Q_A,1O8Q_B,1O8Q_C,1O8Q_D,1O8Q_E,1O8Q_F,1O8Q_G,1O8Q_H
2.7.7.77	P32173	Escherichia coli	1H4C_A,1HJJ_A,1E5K_A,1H4D_A,1FRW_A,1H4E_A,1HJL_A	-	-	1FR9_A
2.7.7.79	P53215	Saccharomyces cerevisiae	5XOX_A,5XOX_B,5XOX_C,5XOX_D,5XOX_E	-	-	5XOX_F
2.7.7.8	Q8CST1	Staphylococcus epidermidis	-	-	-	5YJJ_A,5YJJ_B,5YJJ_C,5YJJ_D,5YJJ_E,5YJJ_F
2.7.7.84	Q29599	Sus scrofa	4RWO_A,1PX5_A,1PX5_B,4RWN_A	-	-	4RWP_A,4RWP_B,4RWP_C,4RWQ_A,4RWQ_B,4RWO_B,4RWO_C,4RWN_B,4RWN_C
2.7.8.7	P24224	Escherichia coli	5XUH_B,5XUH_C,5VBX_A,5VBX_B,5VBX_C	5VCB_f,5VCB_e,5VCB_d,5VCB_J,5VCB_L,5VCB_F,5VCB_E,5VCB_D,5VCB_P,5VCB_R,5VCB_Q,5VCB_X,5VCB_W,5VCB_V	-	5XUH_A,5VCB_b,5VCB_a,5VCB_c,5VCB_G,5VCB_I,5VCB_H,5VCB_K,5VCB_O,5VCB_N,5VCB_M,5VCB_B,5VCB_A,5VCB_C,5VCB_T,5VCB_S,5VCB_U,5XU7_A,5XU7_B,5XU7_C
2.7.8.7	P39135	Bacillus subtilis	1QR0_A,4MRT_A	-	-	4MRT_C
2.7.8.7	Q9NRN7	Homo sapiens	2CG5_A,2C43_A	-	-	2CG5_B,2BYD_A
2.8.1.1	Q8NFU3	Homo sapiens	-	-	-	6BEV_A,6BEV_B
2.8.1.2	P25325	Homo sapiens	4JGT_A,4JGT_B,4JGT_C	-	-	3OLH_A
2.8.1.7	P77444	Escherichia coli	6O13_A,6O11_A	1JF9_A,6O12_A,6O10_A	1KMJ_A,5DB5_A,5DB5_B,6MRH_A,6MR6_A,6MR2_A,6MRI_A,6UY5_A,6UY5_B,1I29_A,1KMK_A,1C0N_A,6MRE_A	-
2.8.2.1	P50225	Homo sapiens	3QVU_A,3QVU_B,3U3J_A,3U3J_B,4GRA_A,4GRA_B,3U3K_A,3U3K_B,3QVV_A,3QVV_B,3U3O_A,3U3M_A,1Z28_A,1LS6_A,3U3R_A,2D06_A,2D06_B	-	-	-
2.8.2.2	P50226	Homo sapiens	1Z29_A	-	-	-
2.8.2.2	P52839	Arabidopsis thaliana	1Q44_A,2Q3M_A	-	-	-
2.8.2.20	O60507	Homo sapiens	5WRI_A,5WRI_B,5WRJ_A,5WRJ_B,5WRJ_C,5WRJ_D	-	-	5WRI_D,5WRI_E,5WRJ_F,5WRJ_H,5WRJ_J,5WRJ_L
2.8.2.20	O60704	Homo sapiens	3AP2_A,3AP2_B,3AP1_A,3AP1_B,3AP3_A,3AP3_B,3AP3_C,3AP3_D	-	-	3AP2_S,3AP2_T,3AP1_S,3AP1_T
2.8.2.22	Q8FDI4	Escherichia coli	3ETT_A,3ETT_B,3ETS_A,3ETS_B	-	-	3ELQ_A,3ELQ_B
2.8.2.37	P84151	Mycolicibacterium smegmatis	1TEX_E,1TEX_F,1TEX_G,1TEX_H	-	-	1TEX_A,1TEX_B,1TEX_C,1TEX_D
2.8.2.38	Q9C9C9	Arabidopsis thaliana	5MEX_A,5MEK_A	-	-	-
2.8.3.16	A9X6P7	Acetobacter aceti	3UBM_A,3UBM_B,3UBM_C,3UBM_D	-	-	-
2.8.3.18	B3EY95	Acetobacter aceti	5DW4_A,5DW4_B,4EUB_A,4EUB_B,5DW6_A,5DW6_B,4EU9_A,4EU9_B,4EUC_A,4EUC_B,4EU5_A,4EU5_B,5DW5_A,5DW5_B,5DDK_A,5DDK_B,4EUD_A,4EUD_B,4EU6_A,4EU6_B,4EU3_B,4EUA_A,4EUA_B,5E5H_A,5E5H_B,4EU7_A,4EU7_B,4EU8_A,4EU8_B,4EU4_A,4EU4_B	-	-	4EU3_A
2.8.3.19	P76518	Escherichia coli	-	-	-	4HL6_A,4HL6_B,4HL6_C,4HL6_D,4HL6_E,4HL6_F
2.8.4.2	P0DKS7	Corynebacterium glutamicum	3RH0_A,3RH0_B	-	-	-
2.8.4.6	Q2RSU5	Rhodospirillum rubrum	3JZV_A	-	-	-
3.1.1.1	F0NDQ1	Sulfolobus islandicus	-	-	-	5LK6_A,5LK6_B,5LK6_C,5LK6_D
3.1.1.1	F0QXN6	Vulcanisaeta moutnovskia	4RDZ_A,4RDZ_B,4RDY_A,4RDY_B,4RE0_A	-	-	-
3.1.1.1	O28511	Archaeoglobus fulgidus	2ZYI_A,2ZYI_B,2ZYS_A,2ZYH_A,2ZYH_B,2ZYR_A,2ZYR_B	-	-	-
3.1.1.1	O28558	Archaeoglobus fulgidus	1JJI_A,1JJI_B,1JJI_C,1JJI_D	-	-	-
3.1.1.1	P13001	Escherichia coli	1M33_A	-	-	-
3.1.1.1	P23141	Homo sapiens	2HRR_A,2HRR_B,2HRR_C,2HRR_D,2HRR_E,2HRR_F,8EOR_A,8EOR_B,8EOR_C,8EOR_D,8EOR_E,8EOR_F,1YAJ_A,1YAJ_B,1YAJ_C,1YAJ_D,1YAJ_E,1YAJ_F,1YAJ_G,1YAJ_H,1YAJ_I,1YAJ_J,1YAJ_K,1YAJ_L,3K9B_A,3K9B_B,3K9B_C,2H7C_A,2H7C_B,2H7C_C,2H7C_D,2H7C_E,2H7C_F,2H7C_G,2H7C_H,1YA4_A,1YA4_B,1YA4_C,1MX1_A,1MX1_B,1MX1_C,1MX1_D,1MX1_E,1MX1_F,1MX1_G,1MX9_A,1MX9_B,1MX9_C,1MX9_D,1MX9_E,1MX9_F,1MX9_G,1MX9_H,1MX9_I,1MX9_J,1MX9_K,1MX9_L,5A7G_A,1YA8_A,1YA8_B,1YA8_C,1YAH_A,1YAH_B,1YAH_C,5A7H_A,2HRQ_A,2HRQ_B,2HRQ_C,2HRQ_D,2HRQ_E,2HRQ_F,2HRQ_G,2HRQ_H,2HRQ_I,2HRQ_J,2HRQ_K,2HRQ_L,2DQZ_A,2DQZ_B,2DQZ_C,2DR0_A,2DR0_B,2DR0_C,5A7F_A,1MX5_A,1MX5_B,1MX5_C,1MX5_D,1MX5_E,1MX5_F,4AB1_A,2DQY_A,2DQY_B,2DQY_C	-	-	-
3.1.1.1	Q0ZPV7	Actinidia eriantha	2O7R_A,2O7V_A	-	-	-
3.1.1.1	Q2PCE5	Ferroplasma acidiphilum	-	-	-	3WJ2_A,3WJ2_B,3WJ2_C,3WJ2_D
3.1.1.1	Q5NU42	Saccharolobus shibatae	3WJ1_A	-	-	4P9N_A
3.1.1.1	Q8NKS0	Pyrobaculum calidifontis	-	-	-	2YH2_A,2YH2_B,2YH2_C,2YH2_D
3.1.1.1	Q8TZJ1	Pyrococcus furiosus	5G5M_A,5LCN_C,5LCN_D	-	-	5G5C_A,5G5M_B,5LCN_A,5LCN_B,5G59_A
3.1.1.1	Q976W8	Sulfurisphaera tokodaii	3AIL_A,3AIL_B,3AIL_C,3AIL_D,3AIM_B,3AIM_C,3AIM_D,3AIK_A,3AIK_C,3AIK_D,3AIO_B,3AIO_C,3AIO_D,3AIN_B,3AIN_C,3AIN_D	-	-	3AIM_A,3AIK_B,3AIO_A,3AIN_A
3.1.1.1	Q97VU1	Saccharolobus solfataricus	2RAU_A	-	-	-
3.1.1.1	Q9YBQ2	Aeropyrum pernix	1VE6_A,1VE6_B,2HU5_A,2HU5_B,1VE7_A,1VE7_B,2HU8_A,2HU8_B,4RE5_A,4RE5_B,4RE6_A,4RE6_C,2HU7_A,2HU7_B	-	-	3O4J_A,3O4J_B,3O4J_C,3O4J_D,4RE6_B,4RE6_D,2QR5_A,2QR5_B,3O4G_A,3O4G_B,3O4G_C,3O4G_D,2QZP_A,2QZP_B,3O4I_A,3O4I_B,3O4H_A,3O4H_B,3O4H_C,3O4H_D
3.1.1.102	A0A0K8P8E7	Ideonella sakaiensis	6JTT_A,6JTT_B,6JTT_C,6QG9_A,6QGB_A,6QGB_B,6QGB_C,6QGB_D,6QGB_E,6QGB_F,6JTU_A,6QGA_A,6QGA_B,6QGA_C,6QGA_D,6QGA_E,6QGA_F,6QZ3_A,6QZ1_A	-	-	6QZ2_A,6QZ2_B,6QZ2_C,6QZ2_D,6QZ2_E,6QZ2_F,6QZ2_G,6QZ2_H,6QZ2_I,6QZ2_J,6QZ4_A,6QZ4_B,6QG9_B,6QG9_C,6QG9_D,6QG9_E,6QG9_F,6QG9_G,6QG9_H,6QG9_I,6QG9_J,6JTU_B,6JTU_C
3.1.1.104	Q4A724	Mycoplasmopsis synoviae	3MSR_A,3OVG_A,3OVG_B,3OVG_C,3OVG_D,3OVG_E,3OVG_F	-	-	-
3.1.1.106	A1Z1Q3	Homo sapiens	6Y4Y_B,6Y4Z_D,4IQY_A,4IQY_B,6Y73_B,6Y73_C,6Y73_F,6Y73_G,6Y73_H	-	-	6Y4Y_A,6Y4Y_C,6Y4Y_D,6Y4Z_A,6Y4Z_B,6Y4Z_C,6Y73_A,6Y73_D,6Y73_E
3.1.1.106	P0A8D6	Escherichia coli	1SPV_A,5CB5_R,5CB5_A,5CB5_B,5CB5_C,5CB5_D,5CB5_E,5CB5_F,5CB5_G,5CB5_H,5CB5_I,5CB5_J,5CB5_K,5CB5_L,5CB5_M,5CB5_N,5CB5_O,5CB5_P,5CB5_Q,5CMS_R,5CMS_A,5CMS_B,5CMS_C,5CMS_D,5CMS_E,5CMS_F,5CMS_G,5CMS_H,5CMS_I,5CMS_J,5CMS_K,5CMS_L,5CMS_M,5CMS_N,5CMS_O,5CMS_P,5CMS_Q,5CB3_A	-	-	-
3.1.1.106	Q9BQ69	Homo sapiens	6LH4_A,6LH4_B,6LH4_C,6LH4_D	-	-	2X47_A
3.1.1.107	A0A0H2V871	Escherichia coli	2GZS_A,2GZR_A	-	-	-
3.1.1.117	A0A0A7EQR3	Cerrena unicolor	6RTV_A,6RTV_B,6RV9_A,6RV9_B,6RV9_C,6RV8_A,6RV8_B,6RV8_C,6RV8_D,6RU1_A,6RU1_B,6RU1_C,6RV7_A,6RV7_B,6RV7_C,6RV7_D,6RU2_A,6RU2_B	-	-	-
3.1.1.117	C5BN23	Teredinibacter turnerae	6HSW_A,6HSW_B,6HSW_C	-	-	-
3.1.1.117	G0RV93	Trichoderma reesei	3PIC_A,3PIC_B,3PIC_C	-	-	-
3.1.1.117	G2QJR6	Thermothelomyces thermophilus	4G4J_A,4G4G_A,4G4I_A	-	-	-
3.1.1.2	B5BLW5	Saccharolobus solfataricus	-	-	-	5L2P_A,5L2P_B,5L2P_C,5L2P_D
3.1.1.2	C4KKZ9	Sulfolobus islandicus	4G2D_A	-	-	-
3.1.1.2	P27169	Homo sapiens	-	-	-	1V04_A
3.1.1.20	B3Y018	Lactiplantibacillus plantarum	4J0G_A,4J0G_B,4J0D_A,4J0D_B,4J0H_A,4J0H_B,4J0K_A,4J0K_B,3WA7_A,4J0C_A,4J0C_B,4JUI_A,4JUI_B,4J0J_A,4J0J_B,4J0I_A,4J0I_B	-	-	3WA6_A
